time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001822,-0.3015,0.2606,0.1341,0.420
0.006292,0.0651,0.0883,0.0172,0.111
0.024949,0.0349,-0.0765,0.2674,0.280
0.035019,-0.2937,-0.0821,0.4430,0.538
0.044606,-0.4858,-0.0722,0.3010,0.576
0.054690,-0.5952,-0.0872,0.1949,0.632
0.064766,-0.5391,-0.0729,0.1799,0.573
0.075315,-0.4260,-0.0293,0.1335,0.447
0.090295,-0.3778,0.0436,0.1374,0.404
0.096662,-0.3913,-0.0179,0.4373,0.587
0.105056,-0.4928,-0.0237,0.4082,0.640
0.115279,-0.7524,-0.0557,0.7172,1.041
0.124066,-0.9784,-0.3032,1.4977,1.814
0.134816,-0.7908,-0.1815,0.5179,0.963
0.148637,-0.3014,-0.1276,0.2994,0.444
0.154435,0.1713,-0.1007,0.7334,0.760
0.163814,0.2847,0.0904,0.8521,0.903
0.173985,0.2297,0.4592,0.7640,0.921
0.184026,0.1163,0.8831,0.5653,1.055
0.193696,0.0276,1.2797,0.3523,1.328
0.204280,0.0321,1.6621,0.1949,1.674
0.214587,0.0603,1.9333,0.1243,1.938
0.224565,0.2326,2.1730,0.1180,2.189
0.233866,0.2074,2.4217,0.1775,2.437
0.244700,0.1742,2.6502,0.2938,2.672
0.253762,0.2423,2.8465,0.4631,2.894
0.263610,0.3604,2.9304,0.6271,3.018
0.279473,0.3818,2.9562,0.7719,3.079
0.285852,0.2944,3.0466,0.9106,3.193
0.293646,0.0582,3.1340,1.0285,3.299
0.304325,-0.1357,3.2595,1.0837,3.438
0.315330,-0.2600,3.3148,1.0472,3.486
0.325898,-0.4236,3.3693,0.9844,3.536
0.334733,-0.4771,3.3422,0.8247,3.475
0.343802,-0.4462,3.2343,0.7711,3.355
0.353897,-0.4105,3.0871,0.7951,3.214
0.370992,-0.3681,2.8330,0.7600,2.956
0.384976,-0.3175,2.5673,0.7749,2.700
0.385614,-0.2854,2.3986,0.7451,2.528
0.394230,-0.2725,2.2859,0.7256,2.414
0.403849,-0.1860,2.0796,0.8249,2.245
0.414591,0.0101,1.6427,0.9354,1.890
0.424814,0.2292,0.3217,0.8932,0.977
0.435967,0.5305,-1.5352,0.7518,1.790
0.444343,0.7369,-2.9724,0.6848,3.138
0.454260,0.9309,-3.9354,0.5960,4.088
0.465741,1.3570,-4.6714,0.3118,4.874
0.473875,1.5133,-5.1291,-0.1347,5.349
0.483918,1.3493,-4.8901,-0.6010,5.108
0.494207,1.1269,-4.3522,-1.0268,4.611
0.504529,1.0922,-3.7756,-1.2865,4.136
0.515110,1.0413,-3.0796,-1.4597,3.564
0.525771,1.5444,-4.2525,-1.8464,4.887
0.534058,2.2608,-8.6408,-2.5057,9.276
0.544465,1.4531,-8.7015,-3.3626,9.441
0.554688,0.1349,-4.3314,-4.4161,6.187
0.564485,0.8764,-2.5683,-3.3463,4.308
0.576729,2.2468,-2.5528,-1.8856,3.889
0.583765,2.1729,-2.0509,-1.1519,3.202
0.594466,0.9232,-1.2003,-0.9515,1.788
0.605804,-0.4195,-0.5055,-0.8056,1.040
0.615262,-1.3543,-0.0717,-0.5442,1.461
0.624542,-1.5144,0.0634,-0.1878,1.527
0.634032,-1.2306,0.0231,0.0160,1.231
0.644039,-0.7708,-0.0152,0.1356,0.783
0.653790,-0.5410,0.0544,0.4101,0.681
0.665402,-0.5094,0.1926,0.7251,0.907
0.681426,-0.5747,0.5028,0.7756,1.088
0.684738,-0.6744,0.7935,0.7555,1.287
0.695659,-0.7019,1.1013,0.8257,1.545
0.704623,-0.6847,1.3972,0.8807,1.788
0.715367,-0.5266,1.5710,0.9343,1.902
0.727001,-0.0736,1.6345,0.9757,1.905
0.734857,0.4129,1.5074,0.9332,1.820
0.745868,0.7806,1.3947,0.9422,1.855
0.754863,1.0367,1.3638,1.0986,2.035
0.766741,1.0827,1.4016,1.3745,2.242
0.777014,1.0851,1.4000,1.7408,2.484
0.790420,1.0218,1.2913,1.9924,2.585
0.796200,0.9738,1.1578,2.0729,2.566
0.806707,0.7770,1.1497,2.0629,2.486
0.818137,0.6105,1.2665,2.0440,2.481
0.835165,0.3395,1.4116,1.9793,2.455
0.844614,0.1732,1.5073,1.8937,2.426
0.854213,0.0368,1.7132,1.7740,2.467
0.863996,-0.0805,2.0563,1.6489,2.637
0.874216,-0.2314,2.5084,1.4802,2.922
0.884195,-0.3212,2.8228,1.2997,3.124
0.894921,-0.3514,3.0393,1.2610,3.309
0.905802,-0.3337,3.1980,1.1633,3.419
0.914823,-0.3193,3.1352,0.6836,3.225
0.924465,-0.5286,2.8092,0.0560,2.859
0.935074,-0.8785,2.6154,-0.2832,2.773
0.944886,-0.8638,2.4052,-0.2549,2.568
0.953985,-0.4596,2.0023,-0.2029,2.064
0.963961,0.0979,1.6224,-0.2032,1.638
0.974941,0.4912,1.6045,-0.2654,1.699
0.984797,0.4193,1.9211,-0.2263,1.979
0.994413,-0.0492,2.1641,-0.4152,2.204
1.005248,-0.5999,1.8981,-0.7249,2.118
1.014308,-0.8771,1.1096,-1.1437,1.819
1.024688,-0.7512,-0.1695,-1.5478,1.729
1.035027,-0.3592,-1.7764,-2.0312,2.722
1.044168,0.0177,-3.5720,-2.2106,4.201
1.053870,0.2933,-5.1590,-2.0378,5.555
1.064387,0.1163,-5.5439,-2.0682,5.918
1.074822,-0.8300,-4.4692,-2.2124,5.055
1.084681,-1.9094,-3.2429,-2.0310,4.276
1.094719,-2.4102,-2.4497,-1.4582,3.733
1.105671,-2.2308,-1.9944,-1.0269,3.164
1.115063,-1.7879,-1.7145,-0.9417,2.650
1.124799,-1.3052,-1.6647,-1.0802,2.375
1.134194,-1.0036,-1.7633,-1.2107,2.363
1.143968,-0.9244,-1.8609,-1.1689,2.384
1.153910,-0.6973,-2.2167,-1.0892,2.566
1.163779,-0.3209,-3.4031,-0.9843,3.557
1.176848,-0.0398,-4.7120,-0.7715,4.775
1.184416,-0.3300,-4.7680,-0.4777,4.803
1.194844,-0.8118,-3.9916,-0.1888,4.078
1.204744,-1.3106,-3.1023,0.1979,3.374
1.215604,-1.7317,-2.2506,0.4253,2.871
1.224969,-2.1692,-1.4086,0.5603,2.646
1.234433,-2.3212,-0.5773,0.6320,2.474
1.244096,-1.9276,0.1330,0.4123,1.976
1.254193,-1.3390,0.6662,0.1775,1.506
1.265003,-0.6368,1.1300,0.0669,1.299
1.274256,-0.0560,1.4699,0.1620,1.480
1.284411,0.3880,1.7534,0.3292,1.826
1.295264,0.6138,1.9109,0.4498,2.057
1.305225,0.5116,2.0102,0.5386,2.143
1.313839,0.4723,2.0110,0.6089,2.154
1.324207,0.4230,1.8863,0.6337,2.034
1.335045,0.4576,1.7327,0.5969,1.889
1.345121,0.4131,1.8085,0.5543,1.936
1.354422,0.3109,2.2237,0.5453,2.311
1.364478,0.2339,2.8018,0.5682,2.868
1.374144,0.2010,3.4339,0.7035,3.511
1.384065,0.3525,3.9430,0.9766,4.077
1.394712,0.5954,4.3294,1.1550,4.520
1.404582,0.9308,4.6612,1.2654,4.919
1.413818,1.0871,4.7072,1.5932,5.087
1.425362,1.2133,4.4681,2.0137,5.049
1.435206,1.1459,3.9171,2.3077,4.689
1.443843,0.8322,3.3006,2.4173,4.175
1.454259,0.1790,2.6892,2.4995,3.676
1.464082,-0.4837,2.1529,2.4809,3.320
1.474172,-1.1810,1.6393,2.8325,3.479
1.488610,-1.5240,1.1909,3.3843,3.898
1.494824,-1.3941,0.7278,3.2704,3.629
1.505245,-1.1215,-0.3611,3.0666,3.285
1.515204,-0.9235,-1.8551,3.0445,3.683
1.525137,-0.6387,-3.4450,2.5324,4.323
1.534911,-0.1359,-4.8084,1.6404,5.082
1.544865,0.4176,-5.5936,0.8159,5.668
1.555369,1.0720,-5.6105,0.0927,5.713
1.567111,1.6191,-5.2666,-0.4454,5.528
1.579606,2.1082,-5.0508,-0.7987,5.531
1.585394,2.3462,-4.7034,-1.3889,5.437
1.600015,2.3863,-3.9794,-2.0356,5.067
1.605992,2.3385,-3.3556,-2.4769,4.782
1.617246,2.5185,-4.1253,-2.6622,5.518
1.635027,2.6371,-7.8552,-2.8943,8.777
1.644143,2.2985,-10.1477,-2.7433,10.760
1.653821,1.7690,-7.6495,-3.0282,8.415
1.663971,1.6662,-4.8546,-3.2776,6.090
1.674821,1.7469,-3.2874,-2.0384,4.244
1.685630,1.3561,-1.8850,-0.6618,2.415
1.693883,0.6535,-0.5800,-0.2204,0.901
1.705184,-0.2269,0.3568,-0.4194,0.596
1.714729,-1.1431,0.9404,-0.6354,1.611
1.725129,-1.6169,1.2399,-0.6118,2.127
1.735329,-1.5674,1.3100,-0.5389,2.113
1.745281,-1.1070,1.2179,-0.3041,1.674
1.756048,-0.5662,1.1955,0.1582,1.332
1.764053,-0.2896,1.3644,0.6875,1.555
1.773857,-0.4008,1.6861,1.1241,2.066
1.784000,-0.6914,2.0680,1.3629,2.571
1.800664,-0.8165,2.3998,1.4777,2.934
1.805281,-0.8182,2.6520,1.5858,3.196
1.815155,-0.7468,2.9188,1.8250,3.522
