time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002291,0.5031,-0.2131,1.2510,1.365
0.003068,0.3745,-0.5141,0.4226,0.764
0.012996,0.2176,-0.5429,-0.5008,0.770
0.022908,0.0605,-0.4268,-0.9480,1.041
0.031555,0.0261,-0.3141,-0.7594,0.822
0.042701,0.1137,-0.2282,-0.3134,0.404
0.052538,0.2286,-0.1681,0.0739,0.293
0.061783,0.3574,-0.2292,0.2397,0.488
0.072390,-0.3025,0.0516,0.2519,0.397
0.082984,-1.5848,0.3904,0.2833,1.657
0.091870,-1.0964,0.4449,-0.6977,1.374
0.101655,-0.3881,0.1588,-0.7249,0.837
0.111396,-0.9817,0.4024,-0.6104,1.224
0.121732,-1.6173,0.1402,-0.5159,1.703
0.131848,-1.9221,-0.1767,-0.1858,1.939
0.142147,-1.1085,-0.4380,-0.0332,1.192
0.152208,-0.6133,-0.3445,-0.0861,0.709
0.162107,-0.5227,-0.1962,-0.2083,0.596
0.172338,-0.6867,-0.0615,-0.5353,0.873
0.181347,-0.9944,0.0453,-0.6437,1.185
0.191334,-1.1215,0.1511,-0.4508,1.218
0.201354,-1.0763,0.2551,-0.2829,1.142
0.212486,-0.9128,0.2081,-0.2772,0.976
0.221372,-0.7096,0.1196,-0.3802,0.814
0.231753,-0.5638,0.1123,-0.4427,0.726
0.241567,-0.4382,0.1864,-0.5052,0.694
0.251433,-0.3341,0.1640,-0.6205,0.724
0.262329,-0.2495,0.0582,-0.6643,0.712
0.271996,-0.1832,-0.0219,-0.6231,0.650
0.282993,-0.1208,0.0330,-0.5523,0.566
0.291959,-0.0344,0.1556,-0.5352,0.558
0.302113,0.0079,0.2642,-0.6268,0.680
0.311236,0.0055,0.3313,-0.6627,0.741
0.322356,-0.1105,0.3568,-0.7241,0.815
0.332717,-0.2033,0.3948,-0.7016,0.830
0.342326,-0.2855,0.4047,-0.6364,0.806
0.351924,-0.3971,0.4546,-0.5425,0.812
0.361871,-0.4415,0.4362,-0.3939,0.735
0.372711,-0.4859,0.3773,-0.1787,0.641
0.382055,-0.4214,0.2786,-0.0070,0.505
0.392659,-0.3169,0.1814,0.1615,0.399
0.402277,-0.1164,0.1535,0.2994,0.356
0.411735,0.0449,0.1678,0.4617,0.493
0.421486,0.2618,0.1287,0.5532,0.625
0.432525,0.4237,0.1061,0.6386,0.774
0.442114,0.7597,0.1837,0.6871,1.041
0.452792,0.9418,0.2668,0.6566,1.179
0.461859,1.0799,0.2999,0.5627,1.254
0.472550,1.2305,0.2949,0.3813,1.322
0.482232,1.3149,0.2644,0.2111,1.358
0.492433,1.3824,0.2889,0.1092,1.417
0.502318,1.3885,0.3132,0.0365,1.424
0.512703,1.2405,0.4182,-0.0470,1.310
0.521567,1.0135,0.5215,-0.1687,1.152
0.532595,0.7822,0.5143,-0.1655,0.951
0.541790,0.6330,0.4374,0.0026,0.769
0.553028,0.4464,0.3449,0.1327,0.580
0.562270,0.2391,0.3588,0.2395,0.493
0.572637,0.0671,0.3842,0.3096,0.498
0.581808,-0.0424,0.3942,0.3690,0.542
0.592682,-0.0905,0.2945,0.3344,0.455
0.603010,-0.1061,0.1678,0.3129,0.371
0.613138,-0.0997,0.1373,0.3713,0.408
0.621766,-0.1635,0.1902,0.4818,0.543
0.631797,-0.1468,0.2852,0.3316,0.461
0.642098,0.0151,0.3539,0.2214,0.418
0.654027,0.2622,0.3140,0.2057,0.458
0.662552,0.4545,0.1119,0.1468,0.491
0.673098,0.6171,-0.0619,0.0580,0.623
0.684169,0.6545,-0.0853,-0.0186,0.660
0.694117,0.5817,-0.0132,-0.0275,0.583
0.704681,0.4546,0.0724,0.0454,0.463
0.714342,0.4054,0.0487,0.1322,0.429
0.723433,0.3762,-0.0572,0.2467,0.453
0.733838,0.4345,-0.1772,0.3202,0.568
0.752324,0.4517,-0.2814,0.3705,0.648
0.761803,0.4966,-0.3607,0.3738,0.719
0.773443,0.4597,-0.4258,0.2804,0.686
0.782370,0.3976,-0.5856,0.1992,0.735
0.791646,0.3524,-0.7311,0.2118,0.839
0.802704,0.2835,-0.7392,0.2359,0.826
0.812419,0.2587,-0.7595,0.3388,0.871
0.822610,0.2093,-0.6554,0.4513,0.823
0.831958,0.2844,-0.4812,0.5595,0.791
0.842172,0.4290,-0.2101,0.5959,0.764
0.851712,0.5197,-0.0198,0.6299,0.817
0.863456,0.5829,0.0346,0.5948,0.834
0.872406,0.6038,-0.1293,0.4643,0.773
0.881313,0.6224,-0.4438,0.3348,0.835
0.892746,0.5704,-0.7863,0.3012,1.017
0.901350,0.4349,-1.2245,0.3629,1.349
0.911631,0.1230,-1.7712,0.4912,1.842
0.921331,-0.1589,-1.9489,0.7121,2.081
0.932060,-0.3415,-1.5801,0.9155,1.858
0.941166,-0.5062,-1.1415,0.8562,1.514
0.951137,-0.5852,-1.0150,0.6443,1.337
0.961875,-0.5663,-1.1599,0.5799,1.415
0.971132,-0.5303,-1.2904,0.6903,1.557
0.981511,-0.5149,-1.4059,0.9071,1.751
0.991349,-0.5726,-1.5605,1.0932,1.989
1.001331,-0.8924,-1.5495,1.2341,2.173
1.013128,-1.2549,-1.3319,1.3295,2.262
