time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002740,-0.5037,-0.1326,-0.0406,0.522
0.015463,-0.2844,-0.2044,-0.0087,0.350
0.020311,0.1120,-0.3033,0.0481,0.327
0.031311,0.3042,-0.2945,-0.0081,0.423
0.040751,0.4825,-0.2595,-0.0304,0.549
0.051337,0.5241,-0.1973,0.0419,0.562
0.060960,0.4833,-0.2023,0.2009,0.561
0.071770,0.4147,-0.2605,0.5404,0.729
0.080764,0.5082,-0.2226,0.5205,0.761
0.090920,0.4204,-0.0463,0.4993,0.654
0.106170,0.2481,0.1175,0.4156,0.498
0.111308,0.0044,0.2149,0.2522,0.331
0.120918,0.0295,0.2590,0.1076,0.282
0.130481,0.0654,0.2762,0.1103,0.304
0.141279,0.1816,0.2658,0.1144,0.342
0.152550,-0.0422,0.2006,0.2019,0.288
0.161553,-0.2633,0.1488,0.2771,0.410
0.171613,-0.4128,0.0696,0.3122,0.522
0.180646,-0.4644,0.0310,0.3074,0.558
0.190991,-0.4462,0.0058,0.1955,0.487
0.203125,-0.3547,-0.0060,0.0720,0.362
0.211245,-0.2541,-0.0998,-0.0358,0.275
0.221063,-0.2265,-0.1257,-0.1147,0.283
0.232024,-0.0996,-0.1517,-0.1652,0.245
0.241625,0.0003,-0.1644,-0.1866,0.249
0.251765,0.1123,-0.2183,-0.2058,0.320
0.260794,0.2226,-0.2180,-0.2498,0.399
0.272294,0.2487,-0.2316,-0.2504,0.422
0.282342,0.3129,-0.2319,-0.3161,0.502
0.291665,0.3342,-0.2055,-0.3780,0.545
0.311195,0.3538,-0.1523,-0.4357,0.582
0.313112,0.3687,-0.1676,-0.4759,0.625
0.321077,0.3090,-0.1016,-0.4858,0.585
0.331195,0.2703,-0.0631,-0.4389,0.519
0.341404,0.0637,0.0024,-0.3903,0.396
0.354321,-0.0761,0.0404,-0.3814,0.391
0.361224,-0.1874,0.1054,-0.3580,0.418
0.371183,-0.2824,0.1295,-0.3343,0.456
0.380731,-0.3742,0.1535,-0.2835,0.494
0.392277,-0.4499,0.1911,-0.2328,0.541
0.402846,-0.5109,0.2287,-0.2504,0.613
0.415058,-0.4868,0.1982,-0.2413,0.578
0.421945,-0.4419,0.1405,-0.1922,0.502
0.432331,-0.4963,0.0966,-0.1036,0.516
0.442217,-0.4603,0.0802,0.0378,0.469
0.453144,-0.4048,0.0638,0.1504,0.437
0.461950,-0.4007,0.1293,-0.0380,0.423
0.471550,-0.2870,0.1132,-0.1195,0.331
0.481464,0.0284,-0.0523,0.2047,0.213
0.492890,0.5699,-0.2851,0.6871,0.937
0.503864,0.8465,-0.1898,0.8760,1.233
0.513236,1.0230,-0.3251,0.2692,1.107
0.523104,1.0618,-0.6506,-0.0543,1.246
0.541505,0.7698,-0.4976,-0.4824,1.036
0.553129,0.7311,-0.5363,0.9366,1.304
0.560446,0.1249,-0.4248,0.6374,0.776
0.570832,-0.4142,-0.1633,0.5132,0.679
0.581180,-0.4474,0.0030,0.2649,0.520
0.590260,-0.8436,0.2646,0.0559,0.886
0.602011,-0.9894,0.4990,0.0508,1.109
0.610627,-0.7906,0.5694,-0.1699,0.989
0.620934,-0.7923,0.5575,-0.0734,0.972
0.632305,-0.8105,0.4771,-0.1777,0.957
0.641088,-0.7296,0.4505,-0.1554,0.871
0.651444,-0.5634,0.4238,-0.1451,0.720
0.660887,-0.5063,0.3422,-0.1747,0.636
0.671911,-0.3050,0.2600,-0.2024,0.449
0.680753,-0.1303,0.1228,-0.1869,0.259
0.691940,-0.0146,0.0258,-0.1414,0.145
0.702011,0.0409,-0.0716,-0.1066,0.135
0.710610,0.2261,-0.1421,-0.0965,0.284
0.722919,0.3513,-0.1584,-0.2478,0.458
0.730628,0.3498,-0.1477,-0.3837,0.540
0.740823,0.3131,-0.1234,-0.4090,0.530
0.752526,0.3201,-0.0990,-0.5005,0.602
0.763489,0.2889,-0.0744,-0.5768,0.649
0.771962,0.3176,-0.0497,-0.5840,0.667
0.780581,0.2456,-0.0386,-0.6314,0.679
0.791611,0.1170,0.0268,-0.6100,0.622
0.802494,0.0702,0.0647,-0.4783,0.488
0.811375,0.0925,0.0068,-0.4534,0.463
0.823719,0.1025,0.0028,-0.4529,0.464
0.831173,0.1004,0.0253,-0.4628,0.474
0.840896,0.1953,-0.0208,-0.4296,0.472
0.853456,0.5635,-0.1353,-0.3553,0.680
0.861782,0.2786,-0.1544,-0.3634,0.483
0.871498,0.0898,-0.0644,-0.3458,0.363
0.880982,0.0516,-0.0013,-0.2491,0.254
0.890916,0.0689,-0.0194,-0.0197,0.074
0.902121,0.0734,-0.1050,0.2195,0.254
0.910906,0.1601,-0.1492,0.3740,0.433
0.921772,0.1514,-0.1520,0.5662,0.605
0.933219,0.3058,-0.1672,0.3710,0.509
0.941472,0.1602,-0.1400,0.3720,0.429
0.951820,0.0964,-0.0840,0.3375,0.361
0.962659,0.0735,-0.0541,0.2696,0.285
0.971008,-0.0301,-0.0236,0.1985,0.202
0.980899,-0.1189,-0.0064,0.1526,0.194
0.990543,-0.1931,0.0111,0.1053,0.220
1.002530,-0.1984,0.0422,0.0168,0.204
1.010384,-0.2022,0.0457,-0.0432,0.212
1.022116,-0.2444,0.0487,-0.0734,0.260
1.031725,-0.2018,0.0920,-0.0733,0.234
1.042108,-0.1155,0.0938,-0.1110,0.186
1.051195,-0.1080,0.0544,-0.0925,0.152
1.062499,-0.0581,0.0555,-0.0310,0.086
1.070683,-0.0755,0.0287,0.0610,0.101
1.081581,-0.0246,-0.0122,0.1424,0.145
1.090626,0.0122,-0.0670,0.1843,0.197
1.102198,0.0479,-0.0946,0.1854,0.214
1.111228,0.0690,-0.1084,0.1584,0.204
1.121671,0.1028,-0.1356,0.1851,0.251
1.131897,0.0806,-0.1627,0.1020,0.208
1.141559,0.0970,-0.1624,0.1548,0.244
1.151703,0.0699,-0.1484,0.1663,0.234
1.162297,0.0815,-0.1204,0.1756,0.228
1.171123,0.0640,-0.0918,0.1407,0.180
1.180978,0.0324,-0.0626,0.0758,0.104
1.190997,0.0277,-0.0469,0.1456,0.155
1.202353,0.0637,-0.0312,0.0385,0.081
1.211567,0.0860,-0.0021,-0.0944,0.128
1.221778,0.0131,0.0267,0.0738,0.080
1.232589,0.0359,0.0417,0.0251,0.060
1.242731,-0.0088,0.0429,0.0454,0.063
1.252815,0.0287,0.0439,-0.0016,0.052
1.261848,0.0394,0.0312,-0.0338,0.061
1.272544,0.0232,0.0045,-0.0781,0.082
1.282080,0.0210,-0.0224,-0.0387,0.049
1.294018,-0.0218,-0.0633,-0.0523,0.085
1.312462,-0.0521,-0.0500,-0.0090,0.073
1.323983,-0.0664,-0.0231,0.0064,0.071
1.331834,-0.0662,-0.0096,0.0484,0.083
1.341974,-0.0517,-0.0507,0.0493,0.088
1.351406,-0.0365,-0.0235,0.0498,0.066
1.361515,0.0333,-0.0372,0.0230,0.055
1.371032,0.0348,-0.0645,-0.0176,0.075
