time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002150,-0.0665,-0.0528,0.3650,0.375
0.006954,-0.0203,-0.0557,0.1788,0.188
0.015813,-0.1104,-0.0719,0.1551,0.204
0.025797,-0.1859,0.0349,0.2121,0.284
0.036993,-0.2194,0.0877,0.1730,0.293
0.058771,-0.2044,0.0419,0.1271,0.244
0.064928,-0.0995,0.0399,-0.0733,0.130
0.074927,-0.0215,-0.0160,-0.1256,0.128
0.084240,-0.0092,-0.0430,-0.0590,0.074
0.094106,-0.0337,0.0001,0.0992,0.105
0.104675,-0.0416,0.0579,0.2287,0.240
0.115179,-0.1159,0.1023,0.1947,0.249
0.124503,-0.1481,0.0924,0.1336,0.220
0.134460,-0.0716,0.0549,0.0189,0.092
0.144354,-0.0099,-0.0106,-0.0669,0.068
0.155016,0.0913,-0.0495,-0.1652,0.195
0.164204,0.1231,-0.1296,-0.1406,0.227
0.175794,0.0455,-0.1418,-0.1017,0.180
0.184681,0.1033,-0.1819,-0.1162,0.239
0.194752,0.1050,-0.1817,-0.1704,0.270
0.204376,0.1184,-0.1550,-0.2233,0.296
0.214831,0.1844,-0.1427,-0.1930,0.303
0.224509,0.1947,-0.1446,-0.0529,0.248
0.234553,0.1357,-0.0650,0.0600,0.162
0.244756,0.1302,-0.0399,0.0773,0.157
0.255140,0.0965,-0.0012,-0.0147,0.098
0.263824,0.0081,0.0239,0.0290,0.038
0.273889,-0.1067,0.1038,0.1676,0.224
0.283878,-0.1659,0.0614,0.1561,0.236
0.294256,-0.1017,0.0329,-0.0055,0.107
0.304427,-0.0913,0.0320,-0.0454,0.107
0.314212,-0.1214,0.0044,0.0360,0.127
0.324454,-0.1782,0.0453,-0.1015,0.210
0.334951,-0.0699,0.0314,-0.7685,0.772
0.344707,0.0949,0.0581,-0.3301,0.348
0.360822,0.0022,0.1394,0.7211,0.734
0.364199,-0.2117,0.1538,1.1705,1.199
0.374099,-0.0842,0.1558,0.7447,0.765
0.385422,0.2740,0.1724,0.3839,0.502
0.394680,0.2085,0.1759,0.2931,0.400
0.404556,0.3189,-0.0794,-0.0028,0.329
0.414348,0.6878,-0.3075,-0.1759,0.774
0.425825,0.8220,-0.1000,0.2493,0.865
0.435512,0.7175,0.0121,0.8616,1.121
0.444977,0.9161,0.0003,0.0829,0.920
0.454743,0.8456,-0.1352,-0.2620,0.896
0.465336,0.4161,-0.2716,-0.3895,0.631
0.474845,0.4884,-0.3546,-0.4335,0.743
0.484791,0.6532,-0.3162,-0.2446,0.766
0.495400,0.5850,-0.4419,-0.3823,0.827
0.503878,0.6532,-0.1326,-0.1906,0.693
0.513853,0.6673,-0.0837,0.0873,0.678
0.524669,0.4510,-0.2400,0.3958,0.646
0.534230,0.1965,-0.1782,0.4730,0.542
0.543833,0.0551,-0.0611,0.3321,0.342
0.553815,-0.1910,-0.0936,0.0435,0.217
0.564934,-0.4337,-0.0986,-0.0804,0.452
0.576574,-0.5223,-0.0891,-0.0545,0.533
0.585198,-0.8898,-0.0100,-0.1920,0.910
0.594341,-0.9471,0.1395,0.1203,0.965
0.604043,-0.8143,0.2370,0.1342,0.859
0.613858,-0.3304,0.0237,-0.0427,0.334
0.624409,0.0620,-0.0118,-0.0970,0.116
0.634894,0.1421,0.1032,0.1469,0.229
0.645394,0.1260,0.1365,0.3078,0.360
0.654059,-0.0550,0.1422,0.2646,0.305
0.664137,-0.1145,-0.0161,0.1132,0.162
0.674832,-0.1211,-0.1472,0.3968,0.440
0.684752,0.0469,-0.1288,-0.0018,0.137
0.694320,0.2534,-0.1518,-0.3183,0.434
0.705758,0.2945,-0.1617,-0.3212,0.465
0.714971,0.3172,-0.1591,-0.1738,0.395
0.727175,0.3183,-0.0901,-0.1215,0.352
0.734448,0.2021,-0.1045,-0.0284,0.229
0.744303,0.1353,-0.1335,0.0238,0.192
0.754221,0.1356,-0.0809,0.0348,0.162
0.764472,0.1239,-0.0416,0.0865,0.157
0.775761,0.0996,-0.0157,0.0838,0.131
0.784883,0.0760,-0.0442,0.1087,0.140
0.795663,0.0661,-0.0187,0.1211,0.139
0.805708,-0.0114,-0.0205,0.1071,0.110
0.816312,-0.0062,-0.0494,0.0112,0.051
0.826646,0.1089,-0.0915,-0.0579,0.154
0.835789,0.2383,-0.1607,-0.0589,0.293
0.853850,0.0906,-0.2437,0.0056,0.260
0.864404,-0.1321,-0.2164,0.0566,0.260
0.876619,-0.2715,-0.0931,0.0520,0.292
0.884805,-0.3806,-0.0237,-0.0069,0.381
0.893930,-0.3636,-0.0355,-0.0650,0.371
0.905340,-0.3975,0.0213,0.0412,0.400
0.914317,-0.3193,0.0786,0.0935,0.342
0.925347,-0.1579,0.0271,0.1734,0.236
0.934354,-0.1594,0.0303,0.2259,0.278
0.944168,-0.3629,0.1701,0.1148,0.417
0.954295,-0.3048,0.1607,-0.0643,0.350
0.965014,-0.1368,0.1376,-0.0931,0.215
0.974640,0.0576,0.0869,-0.1347,0.170
0.985045,0.2764,0.0352,-0.0937,0.294
0.995053,0.3557,-0.0037,-0.1200,0.375
1.005056,0.3238,-0.0704,-0.1187,0.352
1.016367,0.3177,-0.0829,-0.0630,0.334
1.024681,0.1987,-0.0689,-0.0350,0.213
1.033901,0.1559,-0.0558,-0.0345,0.169
1.044209,0.1489,-0.0164,0.0068,0.150
1.054767,0.1659,-0.0597,0.0080,0.176
1.064925,0.0308,-0.0492,-0.0307,0.066
1.074679,-0.1183,0.0836,-0.0550,0.155
1.085272,-0.2386,0.0666,-0.1198,0.275
1.095210,-0.0711,0.0636,-0.1572,0.184
1.104330,0.0845,-0.0208,-0.1126,0.142
1.114399,0.1460,-0.0914,-0.1091,0.204
1.125211,0.1130,0.0017,-0.1193,0.164
1.134063,0.1495,0.0541,-0.1427,0.214
1.143923,0.2007,0.0386,-0.0706,0.216
1.154466,0.1571,0.0777,0.0423,0.180
1.164154,0.0865,0.0896,0.1004,0.160
1.175918,0.0977,-0.0617,0.0494,0.126
1.186243,0.3535,-0.4857,-0.4100,0.727
1.194778,-0.1397,-0.2017,-0.4054,0.474
