time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003188,-0.3451,0.6854,-0.1279,0.778
0.014466,0.1021,0.6527,0.1151,0.671
0.023237,0.0914,0.6485,0.1664,0.676
0.032958,-0.0232,0.5630,-0.0950,0.571
0.044029,-0.1060,0.4052,-0.2816,0.505
0.053114,0.0322,0.1637,-0.4514,0.481
0.063695,0.0798,0.0302,-0.3462,0.357
0.073511,-0.0445,-0.0082,-0.1579,0.164
0.083017,-0.1356,-0.0590,-0.0650,0.162
0.097174,-0.1213,-0.0811,-0.0533,0.155
0.103450,-0.0992,-0.1022,-0.1091,0.179
0.112839,-0.3350,-0.0690,-0.1372,0.369
0.122600,-0.5841,0.0598,-0.1521,0.607
0.134138,-0.7621,0.1342,-0.2071,0.801
0.142796,-0.8540,0.2087,-0.2068,0.903
0.153451,-1.0221,0.2977,-0.2065,1.084
0.163748,-1.1572,0.3470,-0.1656,1.219
0.172895,-1.1496,0.3160,-0.2070,1.210
0.182676,-0.9452,0.2723,-0.2894,1.025
0.200916,-0.5995,0.1200,-0.2353,0.655
0.204774,-0.4820,0.0496,-0.1266,0.501
0.216047,-0.4580,0.0473,-0.0589,0.464
0.223154,-0.5410,0.0725,0.0356,0.547
0.233062,-0.6094,0.1659,0.1433,0.648
0.244345,-0.6513,0.2318,0.2235,0.727
0.252640,-0.3562,0.2696,0.1402,0.468
0.263356,0.1367,0.0888,-0.0117,0.163
0.272875,0.5814,-0.2008,0.0255,0.616
0.283507,0.8842,-0.2987,0.1013,0.939
0.293595,1.0047,-0.2457,0.1747,1.049
0.305648,0.9624,-0.1777,0.2581,1.012
0.313905,0.8344,-0.1365,0.1889,0.866
0.322915,0.6904,-0.1222,0.4848,0.852
0.334518,0.3467,-0.0663,0.2336,0.423
0.343306,0.2443,0.1812,0.1438,0.336
0.352623,0.4784,0.3746,0.1208,0.620
0.363495,0.6927,0.4589,0.3965,0.921
0.372864,0.8872,0.2708,0.5481,1.077
