time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001212,-0.3264,0.1807,0.4227,0.564
0.019323,-0.7302,0.5338,-0.0255,0.905
0.025388,-0.1364,0.4233,-0.2279,0.500
0.032575,0.4983,0.1348,-0.0748,0.522
0.042872,0.5995,-0.1134,0.0656,0.614
0.054694,0.2362,-0.1574,0.1928,0.343
0.062871,-0.0867,-0.1208,0.1308,0.198
0.071554,-0.2732,-0.0564,0.0408,0.282
0.082665,-0.3910,-0.1273,0.0310,0.412
0.091637,-0.3863,-0.1703,0.0748,0.429
0.103265,-0.2863,-0.1310,0.1586,0.353
0.111943,-0.3356,-0.0634,0.1727,0.383
0.122395,-0.3970,-0.0903,0.0764,0.414
0.131658,-0.3899,-0.0889,0.0193,0.400
0.142841,-0.2596,-0.1266,-0.0404,0.292
0.151515,-0.0730,-0.1905,-0.0065,0.204
0.162239,-0.0876,-0.3358,-0.0688,0.354
0.172656,-0.1670,-0.3720,-0.0089,0.408
0.181779,-0.2034,-0.3672,0.0642,0.425
0.191354,-0.3479,-0.3076,0.0414,0.466
0.202811,-0.5057,-0.2616,0.1001,0.578
0.212134,-0.7164,-0.2159,0.1725,0.768
0.222085,-0.6795,-0.1841,0.2589,0.750
0.232794,-0.6407,-0.2070,0.3588,0.763
0.242740,-0.6279,-0.2703,0.6075,0.915
0.251817,-0.4924,-0.3592,0.6085,0.861
0.261298,-0.4924,-0.2418,0.4561,0.713
0.271291,-0.4907,-0.1495,0.4227,0.665
0.282255,-0.4595,-0.0149,0.2776,0.537
0.291981,-0.3589,0.1204,0.2807,0.471
0.302253,-0.3528,0.2151,0.3510,0.542
0.312025,-0.2924,0.3096,0.2033,0.472
0.325279,0.2692,0.1048,0.6273,0.691
0.331380,0.7169,-0.4931,1.2528,1.525
0.341613,0.1118,-0.3404,0.7459,0.828
0.352099,-0.2370,-0.0646,0.6060,0.654
0.361602,-0.3291,0.1287,0.4537,0.575
0.371769,-0.3557,0.1980,0.3586,0.542
0.385994,-0.2621,0.1434,0.3612,0.469
0.391491,-0.1437,0.0337,0.4196,0.445
0.401357,-0.0548,0.0061,0.5320,0.535
0.411672,0.0594,0.0475,0.6158,0.620
0.425456,0.1983,0.0902,0.6434,0.679
0.433176,0.3343,0.1614,0.6281,0.730
0.441803,0.4688,0.1511,0.5581,0.744
0.452374,0.6166,0.1934,0.4776,0.804
0.463568,0.7488,0.2068,0.4001,0.874
0.471828,0.8894,0.2602,0.3797,1.001
0.482519,1.1165,0.3268,0.3344,1.210
0.492636,1.2773,0.4070,0.3182,1.378
0.502895,1.4388,0.4872,0.1950,1.531
0.513683,1.5465,0.6353,-0.0623,1.673
0.522838,1.6689,0.6603,-0.2222,1.809
0.533583,1.7932,0.8067,-0.3384,1.995
0.543643,1.8264,0.9373,-0.3693,2.086
0.557450,1.8381,1.0238,-0.3816,2.138
0.564183,1.7620,1.0510,-0.5094,2.114
0.574496,1.6276,0.8273,-0.6969,1.954
0.584850,1.4506,0.4609,-0.7933,1.716
0.596605,1.1250,-0.0479,-0.7179,1.335
0.609408,0.7088,-0.4929,-0.5012,0.998
0.623651,0.0787,-0.7482,-0.1465,0.766
0.633362,-0.5272,-0.7044,0.1222,0.888
0.643046,-1.0128,-0.4523,0.2199,1.131
0.652680,-1.3846,-0.1946,0.1183,1.403
0.661815,-1.4751,-0.0537,0.0360,1.476
0.672401,-1.2966,-0.1255,0.0287,1.303
0.687056,-0.9656,-0.2334,0.1376,1.003
0.692419,-0.6346,-0.3784,0.2684,0.786
0.702189,-0.3864,-0.5070,0.3954,0.750
0.711480,-0.1038,-0.6339,0.4515,0.785
0.722645,-0.0368,-0.7044,0.5039,0.867
0.732163,0.0280,-0.6230,0.5246,0.815
0.743158,0.0758,-0.3894,0.5271,0.660
0.751870,0.0911,-0.1681,0.4718,0.509
0.762916,0.1955,-0.0826,0.3471,0.407
0.771934,0.3494,-0.0516,0.3309,0.484
0.781294,0.5790,-0.0208,0.3689,0.687
0.791493,0.7410,0.0234,0.4204,0.852
0.801286,0.8173,0.0809,0.4313,0.928
0.812085,0.8357,0.1376,0.3887,0.932
0.822976,0.8007,0.1928,0.2529,0.862
0.832741,0.6644,0.2051,0.1611,0.714
0.842704,0.5266,0.2015,0.1139,0.575
0.854540,0.3623,0.2090,0.1662,0.450
0.862898,0.1726,0.2143,0.2223,0.354
0.872530,-0.0280,0.2179,0.2679,0.346
0.882327,-0.3334,0.1932,0.2880,0.481
0.891550,-0.4849,0.1546,0.2407,0.563
0.903530,-0.6334,0.1158,0.1938,0.672
0.912827,-0.7077,0.1453,0.2288,0.758
0.921407,-0.7305,0.1341,0.2641,0.788
0.932095,-0.7528,0.1099,0.2725,0.808
0.942496,-0.7738,0.0592,0.3080,0.835
0.952384,-0.7546,-0.0318,0.3568,0.835
0.961965,-0.7397,-0.1223,0.4052,0.852
0.974187,-0.6381,-0.2258,0.4525,0.814
0.981787,-0.4806,-0.4647,0.4839,0.825
0.994140,-0.2156,-0.6205,0.4305,0.785
1.001970,0.2347,-0.6111,0.3730,0.753
1.011993,0.5010,-1.0766,0.1205,1.194
1.023173,0.8284,-1.3902,-0.0002,1.618
1.032769,1.0558,-1.4706,-0.1926,1.821
1.042404,1.1109,-1.4820,-0.3872,1.892
1.051597,1.1665,-1.2349,-0.4728,1.763
1.061672,0.9634,-1.4517,-0.5161,1.817
1.071434,1.0049,-1.8604,-0.5168,2.177
1.081585,1.1286,-1.7934,-0.3390,2.146
1.092774,1.2136,-1.4821,-0.2011,1.926
1.103267,1.2351,-1.1582,-0.1170,1.697
1.112475,1.2634,-1.0943,-0.1952,1.683
1.122687,1.3291,-1.2091,-0.3397,1.829
1.131649,1.4874,-0.7945,-0.1141,1.690
1.142145,1.3453,-0.7630,0.1001,1.550
1.152440,1.2449,-1.2093,0.3425,1.769
1.162180,1.2823,-1.5338,0.6673,2.108
1.171543,1.2672,-1.8994,1.0323,2.506
1.181588,1.4559,-2.1089,1.3553,2.899
1.191752,1.6951,-1.6571,1.7273,2.933
1.201355,1.5892,-0.9005,1.9078,2.641
1.211370,1.2926,-0.2644,1.8216,2.249
1.222156,0.9437,0.0752,1.6304,1.885
1.232809,0.6660,0.2262,1.4861,1.644
1.242891,0.4192,0.1741,1.3631,1.437
1.251955,0.2184,0.0413,1.3852,1.403
1.262322,0.0226,-0.0911,1.4717,1.475
1.271938,-0.1276,-0.1418,1.5284,1.540
1.282133,-0.2593,-0.2066,1.4890,1.525
1.292722,-0.3044,-0.1641,1.3427,1.386
1.303481,-0.3304,-0.0831,1.1336,1.184
1.312442,-0.3078,0.0499,0.9055,0.958
1.322530,-0.2053,0.1264,0.6598,0.702
1.333435,-0.0896,0.2561,0.4373,0.515
1.343434,0.0500,0.3981,0.2642,0.480
1.353193,0.2490,0.5384,0.1665,0.616
1.362582,0.3932,0.6765,0.0611,0.785
1.372577,0.5884,0.7712,0.0030,0.970
1.382997,0.7515,0.8629,0.0340,1.145
1.393479,0.9237,0.9513,0.0738,1.328
1.403405,1.0668,1.0777,0.1774,1.527
1.422660,1.0725,1.1685,0.3123,1.617
1.432883,0.9706,1.2687,0.3540,1.636
1.443224,0.7999,1.3244,0.3444,1.585
1.451699,0.5124,1.3639,0.3639,1.502
1.461325,0.2495,1.3203,0.3166,1.380
1.471239,0.0832,1.1944,0.3246,1.241
1.481441,0.0025,0.9733,0.3876,1.048
1.492655,-0.0049,0.7671,0.5302,0.933
1.503253,-0.0198,0.5904,0.6679,0.892
1.512146,-0.0151,0.5121,0.7845,0.937
1.522127,-0.0050,0.4644,0.8519,0.970
1.531311,-0.0449,0.3785,0.8849,0.964
1.541299,-0.0934,0.3632,0.8855,0.962
1.551550,-0.1351,0.3502,0.8281,0.909
1.562179,-0.1683,0.3401,0.7677,0.856
1.572121,-0.2338,0.3328,0.7180,0.825
1.583284,-0.2515,0.3684,0.5982,0.746
1.593124,-0.1421,0.3100,0.4906,0.598
1.602795,-0.0305,0.1568,0.3557,0.390
1.612572,0.1636,-0.0239,0.2896,0.333
1.622498,0.3040,-0.3275,0.2114,0.494
1.631369,0.4462,-0.6448,0.1079,0.792
1.642112,0.6023,-1.0036,0.0064,1.170
1.652086,0.7418,-1.0231,-0.0657,1.265
1.661495,0.7391,-0.7995,-0.2587,1.119
1.672229,0.4995,-1.2587,-0.4229,1.419
1.681654,0.3796,-1.6380,-0.5960,1.784
1.693002,0.2596,-1.9239,-0.7193,2.070
1.702985,0.0873,-2.2251,-0.8182,2.372
1.713399,-0.0403,-2.5269,-0.8142,2.655
1.723235,-0.2433,-2.9231,-0.7113,3.018
1.732400,0.1438,-2.5825,-0.3641,2.612
1.741893,0.2071,-1.7641,-0.1411,1.782
1.751350,0.2589,-2.1435,-0.4638,2.208
1.761798,0.4085,-3.0944,-0.9636,3.267
1.771332,0.4241,-3.0779,-1.1492,3.313
1.781525,0.1567,-3.0746,-1.3875,3.377
1.792662,-0.0272,-2.5541,-1.4319,2.928
1.801327,-0.3596,-1.3942,-1.3759,1.992
1.812568,-0.5539,-0.3850,-1.3685,1.526
1.823010,-0.5007,0.2013,-1.2335,1.346
1.831754,-0.1880,0.4325,-0.9441,1.055
1.842295,0.2168,0.5112,-0.6608,0.863
1.851689,0.6956,0.5049,-0.2766,0.903
1.861543,1.0462,0.5383,0.0654,1.178
1.871959,1.1721,0.5699,0.3528,1.350
1.882815,0.9861,0.6540,0.5951,1.324
1.891604,0.7463,0.8592,0.6391,1.305
1.901525,0.5781,1.0501,0.5261,1.309
1.911220,0.4858,1.1449,0.2054,1.261
1.922874,0.3618,1.1702,-0.1286,1.232
1.932276,0.3447,1.1812,-0.4905,1.325
1.941693,0.2026,1.1647,-0.7865,1.420
1.951314,-0.0098,1.0796,-0.8798,1.393
1.961321,-0.1820,0.8851,-0.8646,1.251
1.971357,-0.3915,0.5959,-0.6993,0.999
1.981667,-0.6485,0.3495,-0.4531,0.865
1.991766,-0.8701,0.1595,-0.1656,0.900
2.003254,-1.1121,0.0524,0.1246,1.120
2.012237,-1.2946,0.0576,0.3402,1.340
2.022423,-1.4080,0.1341,0.4640,1.488
2.033310,-1.4928,0.2416,0.5618,1.613
2.043319,-1.5308,0.4503,0.5629,1.692
2.051506,-1.5104,0.7462,0.4786,1.751
2.061592,-1.5057,1.0188,0.3632,1.854
2.071410,-1.4253,1.2525,0.2586,1.915
2.081462,-1.2996,1.3784,0.2057,1.906
2.091912,-1.0642,1.4646,0.1877,1.820
2.103848,-0.8987,1.5245,0.1891,1.780
2.113004,-0.7370,1.5577,0.1972,1.734
2.123292,-0.7034,1.5078,0.1349,1.669
2.132127,-0.7174,1.3324,-0.0330,1.514
2.142894,-0.7249,0.9897,-0.2485,1.252
2.153361,-0.7116,0.5752,-0.4845,1.035
2.162182,-0.6492,0.2406,-0.6503,0.950
2.172264,-0.6455,0.1768,-0.7055,0.972
2.182419,-0.6452,0.4095,-0.6573,1.008
2.192621,-0.6613,0.8559,-0.5970,1.235
2.202936,-0.5304,1.2571,-0.6071,1.493
2.214251,-0.2388,1.4643,-0.6089,1.604
2.224416,0.1182,1.3964,-0.6726,1.554
2.233957,0.4047,1.0674,-0.7460,1.364
2.251469,0.6120,0.3646,-0.7137,1.008
2.262052,0.7197,-0.5256,-0.6541,1.105
2.271410,0.7641,-1.2246,-0.4650,1.516
2.281461,0.6088,-1.5952,-0.2575,1.727
2.291661,0.2421,-1.5824,-0.1547,1.608
2.303420,-0.2092,-1.4173,-0.1693,1.443
2.312643,-0.5508,-1.2494,-0.3822,1.418
2.321886,-0.6169,-1.1059,-0.7377,1.466
2.331657,-0.3793,-0.9601,-1.0571,1.478
2.341900,-0.0562,-0.8808,-1.1205,1.426
2.351789,0.2158,-1.1954,-1.0897,1.632
2.361521,0.4095,-2.0813,-1.0868,2.383
2.371413,0.5523,-2.9928,-0.6374,3.109
2.381612,0.7384,-3.3436,0.1884,3.429
2.393593,0.7076,-3.1336,1.0898,3.392
2.401653,0.2953,-2.3228,1.7012,2.894
2.412448,-0.2128,-1.3760,1.9042,2.359
2.423056,-0.5150,-0.6954,1.8317,2.026
2.433321,-0.5314,-0.4735,1.6239,1.773
2.442428,-0.3452,-0.7257,1.4481,1.656
2.451776,0.0427,-1.2185,1.5290,1.956
2.461673,0.5222,-1.6785,1.8078,2.522
2.471571,0.9021,-1.9838,2.1478,3.060
2.481658,1.0329,-1.9315,2.3474,3.211
2.491768,0.8616,-1.4692,2.2754,2.842
2.502060,0.5942,-0.7901,1.9397,2.177
2.511525,0.4492,-0.1824,1.4444,1.524
2.523256,0.4397,0.2297,0.8913,1.020
2.531550,0.6042,0.4593,0.3795,0.849
2.542203,0.8459,0.6153,0.0186,1.046
2.551877,1.1218,0.8618,-0.2334,1.434
2.561997,1.3582,1.1164,-0.4041,1.804
2.571435,1.4678,1.3645,-0.4508,2.054
2.581562,1.4250,1.6331,-0.4663,2.217
2.593644,1.2088,1.8410,-0.4069,2.240
2.603906,0.9059,2.0567,-0.3108,2.269
2.612839,0.5890,2.2136,-0.1148,2.293
2.623173,0.2738,2.3272,0.0911,2.345
2.632665,0.0282,2.3303,0.3027,2.350
2.642760,-0.1883,2.2096,0.5042,2.274
2.652050,-0.3884,2.0612,0.6382,2.192
2.662588,-0.5439,1.8044,0.7158,2.016
2.672023,-0.6674,1.5758,0.7223,1.857
2.681468,-0.7555,1.2948,0.6986,1.654
2.691695,-0.7774,1.0455,0.6936,1.476
2.704169,-0.8219,0.8176,0.6469,1.328
2.712874,-0.8761,0.6239,0.6169,1.240
2.721582,-1.0210,0.5599,0.5088,1.271
2.733191,-1.1359,0.6654,0.4069,1.378
2.744626,-1.1841,0.8018,0.2477,1.451
2.751782,-1.1685,0.8316,0.0744,1.436
2.761508,-1.0509,0.6038,-0.0710,1.214
2.771407,-0.7389,0.0631,-0.1058,0.749
2.781455,-0.3983,-0.6418,-0.1103,0.763
2.793771,-0.0584,-1.2935,-0.0024,1.295
2.803575,0.2098,-1.7560,0.1209,1.773
2.811931,0.3641,-1.9748,0.1491,2.014
2.822468,0.2824,-2.0994,0.0273,2.118
2.831797,0.1021,-2.1978,-0.2575,2.215
2.843108,-0.1218,-2.3109,-0.6493,2.404
2.852476,-0.3481,-2.4392,-1.0094,2.663
2.862222,-0.5348,-2.5146,-1.1725,2.826
2.871400,-0.6805,-2.2775,-1.0728,2.608
2.881318,-0.8123,-1.7273,-0.8504,2.090
2.891613,-0.7815,-1.1093,-0.7091,1.531
2.903484,-0.6573,-1.0509,-0.9191,1.543
2.911997,-0.3430,-2.4919,-1.6820,3.026
2.922855,0.3017,-3.8387,-2.2185,4.444
2.932453,0.5828,-3.5797,-2.0643,4.173
2.944597,0.1975,-2.2877,-1.8724,2.963
2.952153,-0.5283,-1.0526,-1.7934,2.146
2.961926,-0.9256,-0.2414,-1.7753,2.017
2.971965,-0.7090,0.2822,-1.7519,1.911
2.982222,-0.3012,0.5996,-1.5043,1.647
2.993055,0.0609,0.7369,-1.1006,1.326
3.003266,0.3204,0.6955,-0.6711,1.018
3.012679,0.5331,0.5852,-0.2578,0.833
3.024706,0.5224,0.5422,0.0847,0.758
3.033758,0.2980,0.6069,0.2744,0.730
3.044557,-0.0321,0.6998,0.2631,0.748
3.053931,-0.2655,0.7943,0.2045,0.862
3.071464,-0.3089,0.9178,0.0898,0.973
3.081216,-0.1773,1.0549,-0.0880,1.073
3.091268,-0.0339,1.1394,-0.2459,1.166
3.101390,0.1624,1.1579,-0.3983,1.235
3.112164,0.2892,1.0416,-0.5290,1.204
3.122397,0.3871,0.9664,-0.5118,1.160
3.131526,0.2523,0.9453,-0.4257,1.067
3.142498,-0.0860,0.8693,-0.2701,0.914
3.152551,-0.4222,1.0520,-0.0455,1.134
3.161708,-0.7560,1.1534,0.1791,1.391
3.173201,-0.9519,1.2543,0.4059,1.626
3.181567,-1.0115,1.3815,0.5672,1.804
3.200991,-0.9861,1.5224,0.7162,1.950
3.201512,-1.0074,1.6921,0.8094,2.129
3.212501,-1.0452,1.8235,0.8318,2.260
3.221811,-1.1937,1.8894,0.7567,2.360
3.232990,-1.4109,1.8619,0.6267,2.419
3.243326,-1.5189,1.8238,0.5343,2.433
3.253269,-1.6133,1.7207,0.4370,2.399
3.262001,-1.6419,1.6336,0.4041,2.351
3.271406,-1.6486,1.5617,0.3672,2.300
3.281447,-1.6494,1.5175,0.3011,2.261
3.292720,-1.5783,1.4726,0.2759,2.176
3.301661,-1.4770,1.5081,0.1574,2.117
3.311386,-1.3193,1.4600,-0.1087,1.971
3.322749,-1.1203,1.2744,-0.3605,1.735
3.332334,-0.8686,0.8558,-0.5708,1.346
3.343996,-0.6495,0.2273,-0.7007,0.982
3.352555,-0.5059,-0.4473,-0.7789,1.031
3.361998,-0.4659,-0.9754,-0.7825,1.334
3.371485,-0.6923,-1.1913,-0.7045,1.548
3.381953,-1.0740,-1.2300,-0.6835,1.770
3.392863,-1.5129,-1.3505,-0.8141,2.185
3.404336,-1.7051,-1.6343,-0.9463,2.544
3.412657,-1.4742,-1.9183,-0.9847,2.612
3.424140,-0.9485,-2.1469,-0.9175,2.520
3.432975,-0.4165,-2.1556,-0.9112,2.377
