time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001544,-0.1855,0.0627,-0.3737,0.422
0.009933,-0.3072,0.1446,-0.1958,0.392
0.019092,-0.3738,0.1448,0.0646,0.406
0.029220,-0.3028,0.1458,0.0659,0.342
0.038920,-0.1204,-0.0053,-0.0171,0.122
0.048736,0.0102,-0.0320,-0.1559,0.159
0.058778,0.0876,-0.0715,-0.1600,0.196
0.069514,0.1634,-0.0704,-0.0563,0.187
0.080824,0.5905,-0.3835,0.3998,0.810
0.089796,0.2944,-0.3281,0.3477,0.561
0.099331,0.4872,-0.4903,0.3739,0.786
0.110299,0.1621,-0.3525,-0.1597,0.420
0.128425,-0.0954,-0.0100,-0.5049,0.514
0.138112,-0.3692,0.2075,-0.1788,0.460
0.149037,-0.4252,0.3022,-0.0293,0.523
0.158544,-0.2495,0.2745,0.0113,0.371
0.168946,0.0081,0.1240,-0.0429,0.132
0.179223,0.3061,-0.0811,0.0390,0.319
0.187761,0.5620,-0.2048,0.2019,0.631
0.198338,0.6672,-0.4788,0.1469,0.834
0.208539,0.3772,-0.3855,-0.0295,0.540
0.218236,-0.0478,-0.0879,-0.0405,0.108
0.228370,-0.2268,0.1009,-0.0506,0.253
0.237725,-0.2421,0.1945,-0.0610,0.316
0.250331,-0.2030,0.1928,-0.0446,0.283
0.258863,-0.1232,0.1230,-0.0146,0.175
0.269292,0.0246,0.0396,-0.0122,0.048
0.278510,0.1042,-0.0163,-0.0244,0.108
0.287755,0.1973,-0.0853,-0.0109,0.215
0.297804,0.1679,-0.0996,-0.0121,0.196
0.307678,0.1521,-0.1275,-0.0404,0.203
0.317659,0.0826,-0.0872,-0.0406,0.127
0.328802,0.0547,-0.1012,-0.0267,0.118
0.338851,0.0136,-0.0471,-0.0532,0.072
0.349030,-0.0005,-0.0340,-0.1068,0.112
0.358183,-0.0010,-0.0345,-0.0921,0.098
0.368686,0.0666,-0.0488,-0.0909,0.123
0.378520,0.1069,-0.0495,-0.1164,0.166
0.388372,0.0928,-0.0231,-0.0055,0.096
0.399054,-0.0039,0.0166,0.0371,0.041
0.407748,0.0488,0.0153,0.0114,0.052
0.419423,0.1420,-0.0543,-0.0822,0.173
0.430255,0.0720,-0.0966,-0.0396,0.127
0.438488,-0.0383,-0.0841,-0.0242,0.096
0.449631,-0.0256,-0.0715,-0.1039,0.129
0.458122,-0.0263,-0.0453,-0.0609,0.080
0.467640,-0.0134,-0.0871,-0.0180,0.090
0.477867,0.0269,-0.1014,-0.0028,0.105
0.488401,0.0266,-0.1292,0.0394,0.138
0.497884,0.0539,-0.1841,0.0406,0.196
0.509536,0.0949,-0.1978,0.0141,0.220
0.517783,0.0950,-0.2523,0.0279,0.271
0.528706,0.0954,-0.2247,0.0002,0.244
0.538502,0.0829,-0.2374,0.0258,0.253
0.550387,0.0710,-0.1677,0.0641,0.193
0.558333,0.0321,-0.1521,0.0336,0.159
0.568587,0.0614,-0.1501,-0.0246,0.164
0.578136,0.0494,-0.0936,-0.0013,0.106
0.588194,0.0370,-0.1054,0.0489,0.122
0.597818,0.0649,-0.1037,0.0443,0.130
0.607819,0.0786,-0.1022,0.1076,0.168
0.617810,0.0782,-0.1008,0.1023,0.164
0.629674,0.0232,-0.0858,0.0424,0.098
0.637983,-0.0043,-0.0163,0.0099,0.020
0.648490,-0.0318,0.0259,-0.0085,0.042
0.664204,-0.0188,0.0541,-0.0125,0.059
0.667721,-0.0066,0.0408,0.0386,0.057
0.678503,0.0460,-0.0002,0.0496,0.068
0.689150,-0.0105,-0.0276,0.0608,0.068
0.698301,-0.0527,-0.0275,0.0313,0.067
0.708023,-0.0668,-0.0544,-0.0252,0.090
0.718777,-0.0800,0.0008,-0.0677,0.105
0.729174,-0.1057,0.0018,-0.0279,0.109
0.738710,-0.0491,0.0438,-0.0284,0.072
0.748423,-0.0873,0.0314,-0.0694,0.116
0.758746,-0.0708,0.0190,-0.0964,0.121
0.768504,-0.0678,-0.0070,-0.0957,0.117
0.779865,-0.0510,-0.0333,-0.1621,0.173
0.788242,-0.0341,-0.0055,-0.1589,0.163
0.798525,-0.0032,-0.0325,-0.1540,0.157
0.809406,0.0549,-0.0465,-0.1746,0.189
0.818599,0.0855,-0.0746,-0.1938,0.225
0.828515,0.0342,-0.0758,-0.1983,0.215
0.839723,0.0510,-0.0771,-0.1618,0.186
0.850906,0.0676,-0.0514,-0.1388,0.163
0.860010,0.0701,-0.0667,-0.1566,0.184
0.869772,0.0719,-0.0551,-0.1610,0.185
0.880627,0.0864,-0.0710,-0.1248,0.168
0.890589,0.0726,-0.0465,-0.1570,0.179
0.907835,0.0297,-0.0659,-0.1004,0.124
0.917769,0.0150,-0.0822,-0.0661,0.107
0.927843,-0.0403,-0.0709,-0.0325,0.088
0.937919,-0.0271,-0.0728,0.0139,0.079
0.948952,0.0135,-0.0881,-0.0222,0.092
0.957791,0.0405,-0.1031,-0.0043,0.111
0.968893,0.0269,-0.1043,0.0266,0.111
0.978580,0.0408,-0.1186,0.0973,0.159
0.989366,0.0549,-0.1186,0.0981,0.163
0.997756,0.0419,-0.1316,0.0969,0.169
1.009240,-0.0389,-0.1302,0.0803,0.158
1.018852,-0.0106,-0.1147,0.0896,0.146
1.027767,-0.0637,-0.0716,0.1249,0.157
1.038526,-0.0893,-0.0824,0.1457,0.190
1.048318,-0.0467,-0.0794,0.0843,0.125
