time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003505,-0.3224,0.0220,0.5129,0.606
0.009048,-0.6116,-0.0463,0.5018,0.792
0.027016,-0.1833,-0.1660,0.4114,0.480
0.036552,-0.2185,0.0145,0.5223,0.566
0.047584,-0.3602,0.0458,0.5034,0.621
0.064765,-0.4310,0.0774,0.3857,0.584
0.069091,-0.5523,0.2175,0.2681,0.651
0.076380,-0.5747,0.2890,0.3143,0.716
0.090751,-0.6886,0.3463,0.4434,0.889
0.101698,-0.7179,0.4029,0.4533,0.940
0.106119,-0.3898,0.4040,0.2356,0.609
0.117538,-0.1150,0.3228,0.2527,0.426
0.126898,-0.1819,0.1459,0.1907,0.301
0.137173,-0.3580,0.1184,0.1446,0.404
0.147602,-0.4379,0.1041,0.0868,0.458
0.157519,-0.5838,0.1575,-0.0236,0.605
0.167443,-0.7269,0.2783,-0.0916,0.784
0.177828,-0.4874,0.1263,-0.0624,0.507
0.188014,-0.4390,0.4780,-0.1130,0.659
0.202808,-0.4056,0.3935,-0.0660,0.569
0.207577,-0.1846,0.3498,-0.0431,0.398
0.216359,0.0863,0.4288,0.0376,0.439
0.226657,0.0270,0.3716,0.0119,0.373
0.236460,-0.0616,0.3008,0.0831,0.318
0.246703,-0.1380,0.2028,0.0866,0.260
0.257794,-0.1881,0.1458,0.0493,0.243
0.267122,-0.2661,0.1433,-0.0422,0.305
0.276572,-0.0866,0.1817,-0.0522,0.208
0.286978,0.3491,-0.0382,-0.0897,0.362
0.307737,0.4417,-0.0263,-0.0731,0.449
0.309408,0.8861,0.0268,0.1063,0.893
0.317655,1.1237,-0.0559,0.4348,1.206
0.327521,0.9984,-0.0692,0.3403,1.057
0.337523,0.5477,0.0143,0.0279,0.549
0.346867,0.2644,0.1263,-0.0670,0.301
0.357424,0.1673,0.2116,-0.0537,0.275
0.366495,0.0969,0.2425,-0.0409,0.264
0.376262,0.1352,0.1235,-0.0149,0.184
0.387055,0.3079,0.0864,0.0517,0.324
0.397658,0.5459,0.0359,0.0770,0.552
0.410743,0.7276,0.0128,0.0203,0.728
0.417513,0.7311,0.1532,0.3982,0.846
0.427429,0.5866,-0.0471,-0.0148,0.589
0.437327,0.3513,-0.3025,-0.0596,0.467
0.446384,-0.1643,-0.0820,-0.2804,0.335
0.456338,-0.1718,-0.0253,-0.3916,0.428
0.467489,-0.1359,-0.0644,-0.1755,0.231
0.476661,0.0110,-0.1718,-0.1354,0.219
0.487475,0.2548,-0.2796,-0.1345,0.401
0.497126,0.1451,-0.3604,-0.1590,0.420
0.516285,0.0088,-0.3734,0.1172,0.391
0.517740,1.1932,-0.3865,-0.5573,1.373
0.527827,0.4309,-0.5226,-0.2361,0.717
0.537463,0.4181,-0.3320,-0.1850,0.565
0.546752,0.2692,-0.3460,-0.2414,0.500
0.556402,0.3107,-0.3328,-0.2831,0.536
0.568568,0.5264,-0.2513,-0.1072,0.593
0.576470,-0.7423,-0.0876,1.7118,1.868
0.586240,-0.2669,0.2125,0.2052,0.398
0.596935,-0.1311,0.2946,-0.7843,0.848
0.609024,-0.1435,0.2405,-0.4670,0.545
0.617549,-0.0454,0.2545,0.1489,0.298
0.627749,0.1490,0.1868,0.4230,0.486
0.637213,0.1275,0.2012,0.4072,0.472
0.647949,0.0119,0.2160,0.3465,0.408
0.657344,-0.1152,0.2581,0.2289,0.364
0.666861,-0.1847,0.1776,0.1371,0.291
0.676738,0.1305,0.0834,-0.0103,0.155
0.687574,0.4349,-0.0109,-0.0494,0.438
0.698154,0.5736,-0.0102,-0.0028,0.574
0.709920,0.3965,0.0586,0.0323,0.402
0.718303,0.0687,0.1000,0.1224,0.172
0.728308,-0.1912,0.0871,0.2259,0.308
0.739854,-0.2887,0.0198,0.1792,0.340
0.747711,-0.2642,-0.0748,0.0917,0.289
0.757697,-0.1034,-0.1558,-0.0635,0.197
0.768718,0.1115,-0.1550,-0.2049,0.280
0.778393,0.2297,-0.1951,-0.3188,0.439
0.789171,0.1691,-0.1670,-0.3642,0.435
0.806938,0.1290,-0.1249,-0.3276,0.374
0.821714,0.1918,-0.1523,-0.4051,0.473
0.827100,0.1870,-0.1258,-0.3954,0.455
0.836580,0.1963,-0.0726,-0.3675,0.423
0.846220,0.2331,-0.0335,-0.4168,0.479
0.856132,0.3786,-0.1856,-0.4081,0.587
0.866511,0.4680,-0.2697,-0.3701,0.655
0.876323,0.4592,-0.2449,-0.2908,0.596
0.887560,0.3783,-0.2062,-0.2124,0.480
0.896200,0.1306,-0.1807,-0.1359,0.261
0.907127,-0.1318,-0.0733,-0.0753,0.169
0.916271,-0.2156,-0.0202,-0.0305,0.219
0.926368,-0.0525,0.0193,-0.0147,0.058
0.937533,0.1256,0.0590,-0.0008,0.139
0.946492,0.2904,0.0036,0.0108,0.291
0.957600,0.3326,-0.0379,-0.0344,0.337
0.966815,0.1709,-0.0247,-0.0412,0.177
0.976201,0.1055,-0.0248,-0.0367,0.114
0.988149,0.0142,0.0570,0.0067,0.059
0.997059,-0.0349,0.1252,0.0215,0.132
1.007003,-0.1919,0.1663,-0.0188,0.255
1.017881,-0.3062,0.2346,-0.0048,0.386
1.028192,-0.2543,0.2210,-0.0043,0.337
1.037955,-0.1321,0.2481,-0.0037,0.281
1.048205,-0.0087,0.2208,-0.0028,0.221
1.056550,0.0337,0.0843,-0.0289,0.095
1.066270,0.0771,-0.0248,-0.0279,0.086
1.076335,0.0538,-0.0660,-0.0132,0.086
1.086248,0.0178,-0.0663,0.0422,0.081
1.096707,-0.0853,-0.0258,0.0567,0.106
1.106818,-0.0654,0.0011,-0.0379,0.076
1.116501,-0.0999,0.0007,-0.1050,0.145
1.126239,-0.1214,0.0139,-0.1308,0.179
1.137506,-0.0489,0.0952,-0.0745,0.130
