time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001588,-0.5824,0.3957,-0.1028,0.712
0.008050,-0.2486,0.1850,-0.0187,0.310
0.018635,0.2345,-0.1345,0.2419,0.363
0.026995,0.5655,-0.4812,0.0388,0.744
0.036076,0.4717,-0.2834,-0.1504,0.570
0.046224,0.2004,-0.2497,-0.1746,0.365
0.056381,0.0391,-0.1461,-0.1081,0.186
0.068016,0.0016,-0.0957,-0.0993,0.138
0.079571,-0.0482,-0.0447,0.0444,0.079
0.087299,-0.0557,-0.0059,0.0757,0.094
0.096408,-0.0750,0.0483,0.0889,0.126
0.106809,-0.0256,0.0216,0.0047,0.034
0.117110,0.1195,-0.0320,-0.1212,0.173
0.126910,0.2378,0.0366,-0.3004,0.385
0.137643,0.2473,0.1315,-0.3816,0.473
0.146876,0.2434,0.1849,-0.2979,0.427
0.157443,0.2396,0.2109,-0.3363,0.464
0.167075,0.0043,0.1957,-0.4419,0.483
0.176750,0.2862,0.0158,-0.8303,0.878
0.186064,0.2399,0.1476,-0.0029,0.282
0.197193,-0.1884,0.1009,-0.0434,0.218
0.206813,-0.6840,0.1214,-0.0271,0.695
0.216700,-0.7293,-0.0220,-0.1050,0.737
0.226947,-0.8278,0.4061,-0.3175,0.975
0.237169,-0.9221,0.4256,-0.0799,1.019
0.246046,-1.0222,-0.0304,0.2107,1.044
0.256904,-1.1650,-0.3619,0.2263,1.241
0.268387,-1.3065,-0.2829,0.0899,1.340
0.276580,-1.3648,-0.0662,-0.0344,1.367
0.288552,-1.3440,0.1785,-0.0372,1.356
0.297162,-1.3000,0.3014,0.0674,1.336
0.309860,-1.1532,0.2888,0.1152,1.194
0.316813,-0.9760,0.0996,0.0244,0.981
0.327721,-0.7733,-0.0625,-0.1226,0.785
0.337755,-0.6557,-0.1570,-0.2160,0.708
0.347308,-0.5154,-0.1836,-0.2693,0.610
0.357021,-0.4756,-0.1153,-0.2552,0.552
0.368708,-0.6985,0.0479,-0.4046,0.809
0.379316,-1.0733,0.1564,-0.5270,1.206
0.388996,-1.2041,0.1819,-0.2932,1.253
0.398735,-1.0913,0.1103,0.0119,1.097
0.407683,-0.9127,0.1056,0.1560,0.932
0.426345,-0.6727,0.1222,0.2818,0.739
0.437752,-0.4202,0.1174,0.3564,0.563
0.446806,-0.2250,0.0724,0.3745,0.443
0.459055,-0.0603,0.0415,0.3369,0.345
0.466859,0.0874,0.0382,0.3121,0.326
0.477379,0.1499,0.1179,0.2164,0.288
0.489617,0.2355,0.1860,0.1161,0.322
0.496268,0.2755,0.1883,-0.0029,0.334
0.506671,0.2987,0.1920,0.0384,0.357
0.516280,0.4119,0.2235,0.1067,0.481
0.526956,0.6102,0.2280,0.2304,0.691
0.537222,0.7543,0.2329,0.2739,0.836
0.547288,0.8434,0.2926,0.1830,0.911
0.557186,0.5952,0.5292,0.0535,0.798
0.567016,0.3427,0.7514,0.1713,0.843
0.578034,0.1992,0.7819,0.3457,0.878
0.586391,0.1804,0.7432,0.6040,0.975
0.597487,0.2182,0.5810,0.9048,1.097
0.608018,0.2851,0.3781,1.0960,1.194
0.626185,0.3263,0.2721,1.2963,1.364
0.627348,0.3280,0.2377,1.5149,1.568
0.636388,0.3039,0.0315,1.8016,1.827
0.649051,0.4173,-0.2093,1.9357,1.991
0.657306,0.7631,-0.4173,1.8500,2.044
0.665938,1.1229,-0.3489,1.5893,1.977
0.677046,1.2500,-0.1968,1.2261,1.762
0.686043,1.0469,-0.2620,0.9544,1.441
0.696459,0.9314,-0.6538,0.7619,1.369
0.708294,0.8886,-1.1412,0.7176,1.615
0.716589,0.7440,-1.3976,0.8897,1.816
0.726337,0.4623,-1.5459,1.0477,1.924
0.735933,0.0879,-1.7364,1.2058,2.116
0.745919,-0.0922,-1.9685,1.5400,2.501
0.757066,-0.2135,-2.1739,2.0356,2.986
0.766952,-0.5199,-2.2847,1.9852,3.071
0.776901,-0.7650,-2.2740,1.5947,2.881
0.788290,-0.8109,-2.1826,1.2455,2.641
0.796883,-0.6131,-2.2826,1.0184,2.574
0.806688,-0.2810,-2.4511,0.9119,2.630
0.816728,0.2201,-2.5115,0.8600,2.664
0.825938,0.6409,-2.4638,0.7944,2.667
0.837072,0.9524,-2.3901,0.6207,2.647
0.846641,1.3432,-2.2633,0.4225,2.666
0.856747,1.7172,-1.9340,0.2836,2.602
0.866743,1.9537,-1.5660,0.0026,2.504
0.877286,2.1214,-1.1462,-0.2127,2.421
0.886197,2.1663,-0.6618,-0.3981,2.300
0.896103,2.1526,-0.2348,-0.4748,2.217
0.907111,2.0449,0.2304,-0.5684,2.135
0.916759,1.8545,0.6655,-0.5291,2.040
0.926092,1.5392,1.0017,-0.6140,1.936
0.936698,1.1629,1.3344,-0.6602,1.889
0.946047,0.7207,1.5418,-0.6973,1.839
0.957202,0.2832,1.5968,-0.7791,1.799
0.967129,-0.1331,1.5401,-0.8211,1.750
0.976435,-0.4816,1.3864,-0.7575,1.652
0.986989,-0.7347,1.1642,-0.5668,1.489
0.996078,-0.8524,0.9832,-0.3063,1.337
1.005846,-0.9025,0.8985,-0.1281,1.280
1.016097,-1.0182,0.9110,0.0348,1.367
1.026117,-1.2721,0.9134,0.1266,1.571
