time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001536,-0.3760,0.1593,0.2398,0.474
0.006071,-0.0078,0.0028,-0.1276,0.128
0.018091,-0.0608,-0.0852,-0.2789,0.298
0.027871,-0.1263,-0.0497,-0.1755,0.222
0.037236,-0.2034,-0.0816,-0.1432,0.262
0.047736,-0.2516,-0.0722,-0.1807,0.318
0.056600,-0.2306,-0.0893,-0.0855,0.262
0.067891,-0.2203,-0.0915,0.0323,0.241
0.086375,-0.2126,-0.1180,0.0320,0.245
0.095035,-0.2115,-0.1570,-0.0530,0.269
0.104935,-0.2222,-0.1964,-0.1351,0.326
0.116356,-0.1114,-0.1955,-0.1747,0.285
0.127793,0.4190,-0.7259,0.2483,0.874
0.136645,0.0894,-0.0168,0.0849,0.124
0.144907,0.0715,0.2836,-0.1467,0.327
0.155352,-0.3832,0.1205,-0.4183,0.580
0.164847,-0.3619,0.1071,-0.1440,0.404
0.175072,-0.2052,0.1616,0.1031,0.281
0.184892,-0.1989,0.2980,0.2679,0.447
0.197145,-0.1796,0.2437,0.2551,0.396
0.205657,-0.1469,0.1622,0.1196,0.249
0.216406,-0.1553,0.1351,-0.0698,0.217
0.228423,-0.1500,0.1758,-0.1630,0.283
0.242293,-0.1714,0.1212,-0.1604,0.264
0.247661,-0.1773,0.0664,-0.0884,0.209
0.255311,-0.1401,0.0116,-0.0433,0.147
0.266303,-0.1143,-0.0021,-0.0803,0.140
0.275100,-0.1157,-0.0565,-0.1588,0.204
0.285684,-0.1454,-0.0564,-0.1832,0.241
0.297243,-0.1624,0.0253,-0.1939,0.254
0.305727,-0.1664,0.1068,-0.1630,0.256
0.315691,-0.0893,0.0925,-0.1166,0.174
0.326419,0.0278,0.0369,-0.0683,0.082
0.335891,0.1031,-0.0327,-0.0463,0.118
0.345617,0.1505,-0.0205,-0.0247,0.154
0.359010,0.1287,0.0462,-0.0717,0.154
0.366117,0.0916,0.0721,-0.1325,0.176
0.375123,0.1341,0.0977,-0.1523,0.225
0.386146,0.0928,0.1231,-0.1853,0.241
0.395863,0.1176,0.0803,-0.2316,0.272
0.406020,-0.0087,0.0373,-0.2369,0.240
0.416190,-0.1352,0.0896,-0.2419,0.291
0.430011,-0.3018,0.0737,-0.3008,0.432
0.434935,-0.4939,0.0030,-0.3311,0.595
0.444667,-0.6028,-0.0134,-0.2783,0.664
0.455087,-0.7660,0.0244,-0.2243,0.798
0.464942,-0.8432,0.0622,-0.1422,0.857
0.476001,-0.8296,0.1141,-0.1141,0.845
0.486094,-0.8320,0.1393,-0.0319,0.844
0.496167,-0.8510,0.0426,0.0902,0.857
0.506748,-0.9025,-0.0262,0.3060,0.953
0.516067,-1.0149,0.0825,0.5338,1.150
0.530869,-1.0807,0.2051,0.7738,1.345
0.536428,-1.0742,0.2195,0.9686,1.463
0.544500,-0.9432,0.1267,1.2639,1.582
0.555286,-0.6090,-0.0721,1.5864,1.701
0.564987,-0.2788,-0.3080,1.8636,1.909
0.576368,0.0178,-0.5260,2.1067,2.171
0.586352,0.2929,-0.7131,2.1128,2.249
0.597269,0.4372,-0.8432,1.9812,2.197
0.604818,0.5742,-0.9860,1.5815,1.950
0.615817,0.7456,-1.0747,1.1779,1.760
0.625461,0.7997,-1.0557,0.6937,1.495
0.634653,0.8160,-0.9433,0.2013,1.263
0.645741,0.7949,-0.8331,-0.1875,1.167
0.656985,0.7889,-0.8205,-0.4034,1.208
0.664983,0.7436,-0.7554,-0.4730,1.161
0.676451,0.6617,-0.6241,-0.4379,1.009
0.685411,0.5065,-0.3852,-0.4100,0.757
0.695552,0.2828,-0.0802,-0.4119,0.506
0.705486,-0.1275,0.1270,-0.4384,0.474
0.716547,-0.4226,0.2228,-0.3506,0.593
0.726990,-0.6974,0.2757,-0.1649,0.768
0.735993,-0.9118,0.2866,0.0848,0.960
0.745883,-0.9943,0.3652,0.3242,1.108
0.758105,-0.9824,0.3490,0.5348,1.172
0.765368,-0.8909,0.4016,0.5777,1.135
0.776082,-0.6676,0.4278,0.5748,0.979
0.786422,-0.4215,0.3730,0.5397,0.780
0.798632,-0.2223,0.3460,0.4876,0.638
0.807763,0.0896,0.3601,0.4189,0.560
0.818242,0.3193,0.2934,0.3837,0.579
0.826687,0.6397,0.1460,0.4072,0.772
0.839458,1.0757,-0.0549,0.4899,1.183
0.848253,1.5056,-0.2278,0.5121,1.607
0.857932,1.7155,-0.3869,0.5044,1.829
0.875666,1.7637,-0.5148,0.4075,1.882
0.886910,1.8083,-0.6205,0.4164,1.957
0.898653,1.8229,-0.7955,0.4141,2.032
0.905376,1.9181,-1.0126,0.4675,2.219
0.915579,2.0565,-1.2175,0.5211,2.446
0.925492,2.1334,-1.5193,0.5600,2.678
0.935970,2.0569,-1.9042,0.5969,2.866
0.946101,1.8987,-2.1815,0.6585,2.966
0.956459,1.7573,-2.4598,0.6232,3.087
0.966953,1.6900,-2.5484,0.4922,3.097
0.976659,1.6836,-1.9703,0.3350,2.613
0.985668,1.7374,-1.8151,-0.0243,2.513
0.997438,1.9313,-2.0147,-0.2315,2.800
1.006240,2.1414,-2.3514,-0.3954,3.205
1.015607,2.1489,-2.5936,-0.5020,3.405
1.025479,1.8729,-2.7684,-0.7958,3.436
1.035949,1.6829,-3.0118,-1.2485,3.669
1.046144,1.8654,-3.3783,-1.7452,4.235
1.056316,2.1731,-3.5691,-1.8574,4.573
1.066152,2.2498,-3.5162,-1.6821,4.501
1.076958,1.9479,-3.3550,-1.4459,4.140
1.086544,1.5810,-3.0854,-1.1751,3.661
1.095714,1.2858,-2.5303,-0.9799,3.003
1.107057,1.2391,-1.7710,-0.9308,2.353
1.115639,1.3860,-0.9030,-1.0159,1.941
1.125482,1.5633,-0.1305,-1.2086,1.980
1.135782,1.7224,0.5037,-1.4104,2.282
1.145858,1.8422,0.8878,-1.4520,2.508
1.156336,1.9664,1.0504,-1.2467,2.554
1.165668,2.0322,1.0886,-1.0451,2.531
1.175442,1.9014,1.0970,-0.9959,2.410
1.186341,1.5987,1.1423,-1.0545,2.230
1.196870,1.1296,1.1982,-1.1914,2.032
1.205980,0.7424,1.2245,-1.2976,1.932
1.216499,0.5033,1.1658,-1.3979,1.889
1.225653,0.3596,1.0222,-1.3833,1.757
1.235210,0.2465,0.9592,-1.3810,1.699
1.246936,0.0983,0.9371,-1.3934,1.682
1.255936,-0.0291,0.9838,-1.3916,1.704
1.265142,-0.1883,1.0316,-1.3066,1.675
1.276147,-0.3231,1.0680,-1.0567,1.537
1.285595,-0.5529,1.1354,-0.7647,1.476
1.295708,-0.9019,1.3035,-0.5540,1.679
1.305370,-1.2314,1.6011,-0.3844,2.056
1.316659,-1.5153,2.0143,-0.2972,2.538
1.325690,-1.6887,2.3515,-0.2929,2.910
1.335881,-1.7554,2.6111,-0.3038,3.161
1.346306,-1.8550,2.6552,-0.3017,3.253
1.359097,-1.9349,2.6190,-0.2314,3.264
1.367352,-2.1177,2.6251,-0.1202,3.375
