time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002224,-0.6137,0.3000,0.8129,1.062
0.005220,-0.0118,0.1369,0.6407,0.655
0.015247,0.4567,0.0552,-0.0491,0.463
0.024889,0.0679,0.0147,-0.0682,0.097
0.036160,-0.1299,0.0020,-0.0689,0.147
0.044982,-0.0674,-0.1061,0.1085,0.166
0.055745,-0.0307,-0.1876,0.2008,0.276
0.065676,-0.1168,-0.1331,0.1818,0.254
0.075097,-0.1355,-0.1741,0.0113,0.221
0.086258,-0.1550,-0.1474,-0.0947,0.234
0.096101,-0.0526,-0.1076,-0.2604,0.287
0.105768,-0.0059,-0.0409,-0.3072,0.310
0.117032,0.1356,-0.0693,-0.2157,0.264
0.125117,0.2754,-0.0832,-0.2691,0.394
0.135862,0.3180,-0.0557,-0.3607,0.484
0.144874,0.3174,-0.0958,-0.5189,0.616
0.156500,0.1510,-0.0677,-0.4050,0.438
0.165136,0.1189,-0.0798,-0.2887,0.322
0.175915,0.0991,-0.1185,-0.0994,0.184
0.184598,0.1054,-0.1565,0.0131,0.189
0.194613,0.0563,-0.1943,-0.0091,0.202
0.205537,-0.0480,-0.2048,0.0495,0.216
0.215599,-0.1928,-0.1477,0.0513,0.248
0.225738,-0.2140,-0.0772,0.0100,0.228
0.235658,-0.2202,-0.0481,-0.0193,0.226
0.244961,-0.2254,-0.0464,-0.0228,0.231
0.255644,-0.1888,-0.0177,-0.1499,0.242
0.266098,-0.1362,0.0242,-0.2378,0.275
0.275626,-0.0797,0.0382,-0.3272,0.339
0.285897,-0.0192,0.0108,-0.3355,0.336
0.297598,-0.0652,-0.0032,-0.3030,0.310
0.306153,-0.0285,0.0236,-0.2297,0.233
0.316851,-0.0056,-0.0451,-0.3199,0.323
0.327350,-0.0512,-0.1816,-0.1904,0.268
0.337620,-0.0571,-0.2496,0.0231,0.257
0.346293,0.0174,-0.4126,0.0345,0.414
0.365814,0.1766,-0.5877,-0.3696,0.716
0.376158,0.9005,-0.9402,-0.4458,1.376
0.384885,0.8969,-0.8698,-0.2629,1.277
0.394614,1.4562,-0.5809,0.8689,1.792
0.405173,0.7531,-0.0192,1.2459,1.456
0.415472,-0.0367,0.1070,1.2654,1.270
0.424512,-0.5398,0.1918,1.0915,1.233
0.435194,-0.8754,0.4116,0.8268,1.273
0.444755,-0.9200,0.6296,0.7944,1.369
0.455675,-0.8788,0.6690,0.8728,1.408
0.466382,-0.9304,0.6935,0.9289,1.486
0.477120,-1.0563,0.7161,1.0030,1.623
0.484661,-0.9139,0.7093,1.0948,1.593
0.494627,-0.6614,0.6858,0.9864,1.371
0.505170,-0.2770,0.4422,0.5593,0.765
0.514798,-0.0615,0.3065,-0.0007,0.313
0.526125,-0.0700,0.1976,-0.5523,0.591
0.536137,0.0460,0.0756,-0.9725,0.976
0.545917,0.1720,-0.0321,-1.3053,1.317
0.555708,0.2241,-0.0818,-1.3856,1.406
0.565136,0.3231,-0.1689,-1.3125,1.362
0.574798,0.4400,-0.2109,-1.2604,1.352
0.585935,0.4774,-0.3163,-1.2551,1.380
0.602430,0.4220,-0.3633,-1.1502,1.278
0.605290,0.3319,-0.3260,-0.9367,1.046
0.614998,0.2232,-0.2739,-0.5527,0.656
0.625837,0.2323,-0.2080,-0.2353,0.391
0.635146,0.2656,-0.1562,-0.0842,0.319
0.646212,0.2427,-0.0781,-0.0345,0.257
0.654692,0.1514,-0.0012,-0.1008,0.182
0.665645,0.0206,0.1017,-0.1737,0.202
0.676451,-0.0941,0.1628,-0.1290,0.228
0.687217,-0.1920,0.2362,-0.1049,0.322
0.696185,-0.1506,0.2129,-0.0087,0.261
0.705790,-0.1885,0.1475,0.0628,0.247
0.715626,-0.1434,0.0673,0.1779,0.238
0.731656,-0.0414,0.0952,0.1351,0.170
0.735755,0.3903,-0.1498,-0.2637,0.494
0.752306,0.1298,-0.0681,-0.1441,0.206
0.755363,-0.1145,-0.0411,-0.2000,0.234
0.765211,-0.1384,0.1355,-0.0370,0.197
0.775813,-0.1465,0.1076,0.2487,0.308
0.784910,-0.1125,0.0251,0.3300,0.350
0.796558,-0.0517,-0.0302,0.4380,0.442
0.805170,-0.0736,-0.0037,0.4905,0.496
0.815379,-0.2322,0.1724,0.6220,0.686
0.825867,-0.1870,0.1983,0.6129,0.671
0.835718,-0.2239,0.2239,0.5574,0.641
0.845200,-0.1927,0.1944,0.4425,0.520
0.856250,-0.0385,0.1236,0.2143,0.250
0.865394,0.1025,-0.0155,0.0259,0.107
0.875821,0.1347,-0.0865,-0.1078,0.193
0.885877,0.0579,-0.0893,-0.1580,0.190
0.895084,-0.0600,-0.1192,-0.1100,0.173
0.904862,-0.0827,-0.0943,-0.0186,0.127
0.915154,-0.1597,-0.0556,0.0340,0.172
0.924828,-0.1273,-0.0985,0.1023,0.191
0.936600,-0.0816,-0.1275,0.1326,0.201
0.946948,-0.0637,-0.0742,0.2073,0.229
0.956992,-0.0331,-0.0342,0.2715,0.276
0.966066,-0.0578,0.0470,0.2559,0.266
0.975487,-0.0967,0.0738,0.2132,0.245
0.985847,-0.0813,0.1005,0.2243,0.259
0.996264,-0.0793,0.1135,0.1939,0.238
1.005687,-0.0499,0.0584,0.2453,0.257
1.015015,0.0071,0.0303,0.2671,0.269
1.029150,0.0232,-0.0119,0.2438,0.245
1.040507,-0.0016,-0.0275,0.2433,0.245
1.046423,-0.0402,-0.0433,0.2534,0.260
1.056208,-0.0516,0.0088,0.1674,0.175
1.066974,0.0187,0.0474,0.0962,0.109
1.076165,0.0209,0.0454,-0.0139,0.052
1.086204,0.0230,0.0300,-0.0809,0.089
