time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003612,0.2216,-1.1734,0.8269,1.452
0.012004,0.1536,-1.2020,0.4111,1.280
0.020948,0.1236,-0.9958,0.3608,1.066
0.031125,0.0372,-0.8021,0.4276,0.910
0.044498,-0.1028,-0.5806,0.2990,0.661
0.056748,0.0591,-0.3725,0.0581,0.382
0.063954,0.2238,-0.2454,-0.0532,0.336
0.072038,0.3098,-0.1172,-0.0780,0.340
0.080907,0.1128,0.1073,-0.0297,0.158
0.090715,-0.1090,0.2373,0.1208,0.288
0.101994,-0.2592,0.2032,0.2033,0.387
0.110699,-0.3096,0.0586,0.1944,0.370
0.121307,-0.3828,-0.0872,0.1346,0.415
0.131139,-0.3561,-0.1935,0.0786,0.413
0.145159,-0.2435,-0.2875,-0.0143,0.377
0.151644,-0.1278,-0.3008,-0.1717,0.369
0.161782,-0.0517,-0.3011,-0.3135,0.438
0.171297,-0.0843,-0.2338,-0.4791,0.540
0.181390,-0.1574,-0.1401,-0.4906,0.534
0.191519,-0.2295,-0.0471,-0.2810,0.366
0.201558,-0.3273,0.0182,-0.0971,0.342
0.215672,-0.4231,0.0423,0.0735,0.432
0.224374,-0.5983,0.0252,0.2434,0.646
0.230779,-0.8924,-0.0061,0.0590,0.894
0.241049,-1.0320,0.0162,-0.2744,1.068
0.251955,-0.8950,-0.0171,-0.4699,1.011
0.261286,-0.6192,-0.1465,-0.5273,0.826
0.272815,-0.3290,-0.1811,-0.3787,0.533
0.282287,-0.0806,-0.2432,-0.4605,0.527
0.291601,0.0842,-0.3326,-0.6497,0.735
0.302143,0.0153,-0.4628,-0.6874,0.829
0.312800,-0.0423,-0.5932,-0.6817,0.905
0.322619,-0.1293,-0.7781,-0.3746,0.873
0.331404,-0.2182,-0.7178,-0.1755,0.770
0.340552,-0.0240,-0.6300,-0.2474,0.677
0.352377,-0.2012,-1.3451,-0.0072,1.360
0.362821,-0.4371,-2.1810,0.2550,2.239
0.371915,-0.1085,-2.6739,-0.5641,2.735
0.381009,0.5780,-2.4293,-1.5614,2.945
0.391009,0.6726,-1.9111,-1.2784,2.396
0.400745,0.6548,-2.1278,-1.0501,2.461
0.412208,-0.0738,-2.1806,-0.9440,2.377
0.421691,0.2713,-2.1105,-0.5929,2.209
0.432470,1.1438,-1.5493,-0.1745,1.934
0.440644,1.5599,-1.1776,-0.3145,1.980
0.451344,1.6120,-0.8045,-0.3313,1.832
0.462615,1.3959,-0.4574,0.0469,1.470
0.473084,1.3071,-0.1634,0.6559,1.472
0.481552,1.3048,-0.0726,1.0322,1.665
0.490690,1.3236,-0.1575,1.1176,1.739
0.500792,1.5144,-0.2941,0.8763,1.774
0.514399,1.7164,-0.3067,0.5852,1.839
0.522345,1.8473,-0.2238,0.4273,1.909
0.531349,1.7538,-0.1539,0.1697,1.769
0.542278,1.6246,-0.1924,-0.0237,1.636
0.550647,1.6437,-0.2050,-0.1064,1.660
0.562133,1.6356,-0.0830,-0.1055,1.641
0.573334,1.6142,-0.0306,-0.1851,1.625
0.581567,1.4834,-0.1023,-0.3170,1.520
0.591995,1.1894,-0.1485,-0.2824,1.231
0.601226,0.8165,-0.1011,-0.2584,0.862
0.615994,0.4630,-0.0282,-0.2727,0.538
0.624383,0.1319,0.0699,-0.2536,0.294
0.630328,0.0560,0.1793,-0.2938,0.349
0.643330,0.1263,0.2728,-0.3653,0.473
0.651778,0.2592,0.3373,-0.4017,0.585
0.661513,0.3032,0.3462,-0.4742,0.661
0.672041,0.3801,0.3271,-0.5304,0.730
0.681595,0.4363,0.3483,-0.6115,0.828
0.691532,0.4996,0.4235,-0.7718,1.012
0.701445,0.4061,0.6071,-0.9292,1.182
