time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005236,-0.1319,0.0130,-0.0736,0.152
0.015124,-0.1567,-0.0596,0.0749,0.184
0.025341,-0.1675,-0.0905,0.1527,0.244
0.034927,-0.1094,-0.0394,0.1200,0.167
0.045420,-0.0366,0.0668,0.0715,0.104
0.055335,0.0778,0.1195,0.0196,0.144
0.075918,0.1374,0.1463,0.0320,0.203
0.076415,0.1283,0.1069,0.0524,0.175
0.087338,0.0509,0.0283,0.0547,0.080
0.096615,0.0004,-0.0102,0.0728,0.074
0.105364,-0.0640,-0.0496,0.0666,0.105
0.116566,-0.1013,-0.0350,0.0482,0.117
0.124702,-0.1525,-0.0342,0.0034,0.156
0.134724,-0.1634,-0.0745,-0.0270,0.182
0.144993,-0.2290,-0.0876,-0.0162,0.246
0.155257,-0.1722,-0.0873,-0.0183,0.194
0.169551,-0.1835,-0.0873,-0.0469,0.209
0.174911,-0.1678,-0.0737,-0.0206,0.184
0.184639,-0.1382,-0.1146,0.0330,0.183
0.195392,-0.0663,-0.0741,0.0321,0.104
0.206071,-0.0060,-0.0884,0.0172,0.090
0.215303,0.0419,-0.0890,-0.0116,0.099
0.225469,0.0760,-0.1032,-0.0271,0.131
0.235254,0.0411,-0.0492,-0.0970,0.116
0.245094,-0.0628,0.0048,-0.0575,0.085
0.254486,-0.1127,0.0724,-0.0039,0.134
0.275189,-0.1222,0.1536,0.0364,0.200
0.275765,-0.1049,0.1667,0.0632,0.207
0.285023,-0.0470,0.2344,0.0489,0.244
0.294450,-0.0301,0.2748,0.0486,0.281
0.306549,-0.0267,0.3557,0.0766,0.365
0.315181,-0.0501,0.4223,0.1335,0.446
0.324973,-0.0865,0.3794,0.2189,0.446
0.334586,-0.1496,0.3229,0.2768,0.451
0.344537,-0.1853,0.2260,0.3740,0.475
0.354896,-0.1800,0.1301,0.4136,0.469
0.365251,-0.0923,0.0625,0.3680,0.385
0.374424,0.0232,0.0368,0.3598,0.362
0.386597,0.1251,0.0257,0.2942,0.321
0.394999,0.1857,0.0560,0.2404,0.309
0.405321,0.2317,0.1004,0.1995,0.322
0.414928,0.2631,0.2267,0.1856,0.394
0.425216,0.2533,0.3532,0.2122,0.484
0.435313,0.2150,0.5751,0.1983,0.645
0.445032,0.1747,0.7564,0.2395,0.812
0.454975,0.1724,0.9650,0.2681,1.016
