time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001644,-0.1505,0.0840,0.5364,0.563
0.011789,-0.0678,0.0262,0.2697,0.279
0.022727,-0.0124,-0.0584,-0.1067,0.122
0.031848,0.0836,-0.0474,-0.3883,0.400
0.041520,0.0979,0.0045,-0.4384,0.449
0.052351,0.0848,0.0019,-0.2705,0.283
0.061408,0.0444,0.0129,-0.0209,0.051
0.072203,-0.0369,-0.0030,0.1328,0.138
0.082475,-0.0909,-0.0318,0.1899,0.213
0.092521,-0.1581,-0.0051,0.1500,0.218
0.102874,-0.1842,-0.0186,0.0411,0.190
0.112659,-0.1694,0.0089,-0.0681,0.183
0.121774,-0.1542,-0.0456,-0.1223,0.202
0.131890,-0.1383,-0.0189,-0.1348,0.194
0.143530,-0.1214,-0.0470,-0.0512,0.140
0.151484,-0.1166,-0.0067,0.0186,0.118
0.164035,-0.0558,-0.0071,0.0883,0.105
0.172701,-0.0485,-0.0346,0.0896,0.108
0.181691,-0.0269,-0.0209,0.1043,0.110
0.192392,-0.0055,-0.0343,0.1050,0.111
0.203001,0.0287,-0.0608,0.0911,0.113
0.211420,0.0210,-0.0323,0.0899,0.098
0.222335,-0.0148,-0.0035,0.0608,0.063
0.233974,0.0169,-0.0016,0.0310,0.035
0.242005,-0.0068,0.0141,0.0008,0.016
0.252485,-0.0180,-0.0109,-0.0163,0.027
0.262697,-0.0034,-0.0087,-0.0198,0.022
0.273206,0.0237,0.0341,-0.0095,0.043
0.281392,0.0633,-0.0050,0.0284,0.070
0.293219,0.0209,0.0100,0.0530,0.058
0.302676,0.0327,0.0113,0.0371,0.051
0.313351,-0.0097,-0.0284,0.0078,0.031
0.323539,0.0027,-0.0276,-0.0075,0.029
0.332255,-0.0118,-0.0136,-0.1036,0.105
0.341826,-0.0124,-0.0002,-0.1169,0.118
0.354157,0.0007,0.0396,-0.1697,0.174
0.362857,0.0004,0.0108,-0.1398,0.140
0.372070,0.0273,0.0089,-0.0958,0.100
0.388506,0.0543,0.0207,-0.0112,0.059
0.392939,0.0403,0.0192,0.0322,0.055
0.403892,0.0125,-0.0231,0.0481,0.055
0.412738,0.0391,-0.0107,0.0500,0.064
0.422740,0.0111,-0.0118,0.0654,0.067
0.434404,-0.0034,-0.0265,0.0670,0.072
0.443264,-0.0449,-0.0137,0.0819,0.094
0.454374,-0.0724,-0.0277,0.0553,0.095
0.463624,-0.0454,-0.0141,-0.0264,0.054
0.475293,-0.0182,-0.0273,-0.0679,0.075
0.484408,0.0090,-0.0266,-0.0555,0.062
0.501426,0.0088,-0.0380,0.0089,0.040
0.511854,-0.0182,-0.0504,0.0749,0.092
0.521295,-0.0177,-0.0353,0.0998,0.107
0.532812,-0.0169,-0.0336,0.1108,0.117
0.547248,0.0114,0.0089,0.0537,0.056
0.552315,0.0261,0.0239,-0.0167,0.039
0.561646,0.0133,0.0115,-0.1275,0.129
0.571342,0.0275,-0.0147,-0.0746,0.081
0.581432,0.0005,-0.0004,-0.0076,0.008
0.592802,0.0006,0.0001,0.0324,0.032
0.601761,-0.0129,0.0142,0.0316,0.037
0.611839,0.0007,0.0419,-0.0101,0.043
0.623537,-0.0129,0.0150,-0.0787,0.081
0.633407,-0.0130,-0.0123,-0.1059,0.107
0.644418,-0.0131,-0.0264,-0.0643,0.071
0.652655,0.0005,-0.0136,-0.0220,0.026
0.662978,-0.0132,0.0126,0.0479,0.051
0.673209,-0.0269,-0.0020,0.0768,0.081
0.682035,-0.0269,0.0109,0.0507,0.058
0.691388,-0.0538,-0.0031,0.0514,0.074
0.702388,0.0012,-0.0034,0.0246,0.025
0.712355,0.0291,-0.0036,-0.0294,0.042
0.721422,0.0706,0.0371,-0.0563,0.098
0.734187,0.0981,0.0097,-0.0559,0.113
0.742174,0.1119,0.0230,-0.1099,0.159
0.752500,0.0846,0.0227,-0.1366,0.162
0.762212,0.0702,0.0223,-0.1905,0.204
0.771643,0.0278,0.0080,-0.1897,0.192
0.788166,0.0256,-0.0068,-0.0791,0.083
0.792703,-0.0314,0.0187,-0.0083,0.037
0.802021,-0.0203,0.0437,0.0360,0.060
0.812326,-0.0635,0.0412,0.0125,0.077
0.825000,-0.0656,0.0114,0.0164,0.069
0.834044,-0.0673,-0.0183,0.0202,0.073
0.841714,-0.0824,-0.0340,0.0099,0.090
0.853873,-0.0424,0.0050,-0.0144,0.045
0.862458,-0.0421,0.0035,0.0154,0.045
0.871375,-0.0404,0.0159,0.0720,0.084
0.881428,-0.0105,-0.0122,0.1283,0.129
0.892334,-0.0074,-0.0123,0.1562,0.157
0.901589,0.0230,-0.0249,0.1276,0.132
0.911888,0.0391,0.0315,0.0568,0.076
0.922382,0.0548,0.0745,-0.0010,0.092
0.933747,0.0565,0.0490,-0.1670,0.183
0.942045,0.0444,0.0226,-0.3726,0.376
0.951497,0.0591,0.0091,-0.4271,0.431
0.961521,0.0321,0.0497,-0.3857,0.390
0.971576,0.0724,0.0761,-0.3572,0.372
0.982451,0.0709,0.0736,-0.2580,0.277
0.992867,0.0687,0.0146,-0.1555,0.171
1.003024,0.0388,0.0493,-0.1048,0.122
1.012924,0.0224,0.0559,-0.0392,0.072
1.022526,0.0331,-0.0466,0.0130,0.059
1.032540,0.0166,-0.0399,0.0647,0.078
1.043224,0.0140,0.0082,0.0475,0.050
1.051486,-0.0293,0.0026,0.0563,0.064
1.061555,-0.0585,-0.0021,0.0501,0.077
1.071406,-0.0601,-0.0199,0.0701,0.094
1.083082,-0.0614,-0.0775,0.0887,0.133
1.092399,-0.0763,-0.0517,0.1180,0.150
1.102855,-0.0501,-0.0100,0.1437,0.153
1.112797,-0.1051,-0.0616,0.1255,0.175
1.122064,-0.0771,-0.0578,0.0921,0.133
1.132566,-0.1022,-0.0265,0.0450,0.115
1.143363,-0.0852,-0.0499,-0.0016,0.099
1.153192,-0.0807,-0.0193,-0.0338,0.090
1.161619,-0.0483,-0.0162,-0.0380,0.064
1.171466,-0.0293,-0.0135,-0.0418,0.053
1.181505,-0.0107,0.0163,0.0229,0.030
1.192303,0.0616,0.0049,0.0199,0.065
1.203356,0.0378,-0.0070,0.0311,0.049
1.212612,0.0544,0.0080,0.0156,0.057
1.222512,0.0843,0.0089,0.0281,0.089
1.233647,0.0588,-0.0179,0.0003,0.061
1.242121,0.0592,0.0095,0.0138,0.062
1.252724,0.0445,0.0230,-0.0134,0.052
1.262662,0.0150,0.0228,0.0275,0.039
1.273883,0.0122,0.0227,0.0546,0.060
1.282483,0.0227,0.0225,0.1906,0.193
1.294542,0.0737,0.0225,0.2992,0.309
1.304317,0.1648,0.1049,0.4337,0.476
1.314154,0.2278,0.1070,0.4569,0.522
1.324236,0.2355,0.0834,0.3139,0.401
1.333570,0.2423,0.0333,0.0741,0.256
1.351508,0.1859,-0.0006,-0.2390,0.303
1.361485,0.1906,0.0284,-0.5428,0.576
1.371627,0.1673,0.0700,-0.8315,0.851
1.382578,0.2790,0.0021,-1.0650,1.101
1.394522,0.3620,-0.0821,-1.1580,1.216
1.406839,0.5112,-0.1442,-0.7799,0.944
1.412810,0.6038,-0.0617,-0.4889,0.779
1.422877,0.6673,-0.0104,-0.4371,0.798
1.433822,0.7153,0.0523,-0.2461,0.758
1.441984,0.6791,-0.0081,-0.0684,0.683
1.452594,0.6129,-0.1359,0.1073,0.637
1.461449,0.5030,-0.2208,0.3470,0.650
1.471909,0.3232,-0.3033,0.5279,0.689
1.482374,0.1435,-0.2473,0.6913,0.748
1.493332,-0.0075,-0.2169,0.8386,0.866
1.505047,-0.1290,-0.2091,0.9652,0.996
1.512822,-0.2073,-0.2607,1.0106,1.064
1.521414,-0.2830,-0.2753,0.9321,1.012
1.531720,-0.3157,-0.2960,0.8147,0.922
1.542442,-0.3607,-0.3258,0.7172,0.866
1.553484,-0.3747,-0.2990,0.6437,0.803
1.561489,-0.4088,-0.2573,0.6371,0.800
1.571416,-0.4202,-0.1739,0.6306,0.778
1.582702,-0.4629,-0.1584,0.5981,0.773
1.594837,-0.4973,-0.1706,0.5266,0.744
1.608576,-0.5121,-0.2111,0.4305,0.702
1.613088,-0.5368,-0.0764,0.2968,0.618
1.622865,-0.4646,0.0425,0.1530,0.491
1.634628,-0.4061,0.1455,0.0401,0.433
1.644319,-0.2944,0.1643,-0.0965,0.351
1.653564,-0.1713,0.1526,-0.2282,0.324
1.662253,-0.0370,0.1096,-0.3804,0.398
1.671455,0.0673,0.1435,-0.5109,0.535
1.682622,0.1961,0.1724,-0.6056,0.659
1.695015,0.2818,0.2103,-0.5836,0.681
1.706709,0.3112,0.2310,-0.5553,0.677
1.712199,0.3369,0.1941,-0.5087,0.640
1.722183,0.3298,0.1547,-0.4722,0.596
1.731922,0.3430,0.1270,-0.4198,0.557
1.742902,0.3084,0.0977,-0.4070,0.520
1.752675,0.3086,0.1220,-0.4345,0.547
1.761596,0.2500,0.1727,-0.4618,0.553
1.771395,0.2162,0.1550,-0.4482,0.521
1.783396,0.1684,0.0557,-0.3807,0.420
1.791688,0.1077,-0.0021,-0.2464,0.269
1.802390,0.0624,-0.0448,-0.1009,0.127
1.812522,0.0467,-0.0721,0.0009,0.086
1.821678,0.1147,-0.0705,0.1411,0.195
1.831672,0.1571,-0.0812,0.2929,0.342
