time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001395,-0.1765,-0.0961,-0.1563,0.255
0.007982,-0.3146,-0.0954,-0.3694,0.495
0.017475,-0.4366,-0.0810,-0.1756,0.477
0.032727,-0.4603,-0.0661,0.2871,0.546
0.048697,-0.5089,-0.0090,0.6209,0.803
0.049549,-0.5291,0.0222,0.5538,0.766
0.059723,-0.4501,0.0132,0.2371,0.509
0.081067,-0.2138,-0.0099,-0.0408,0.218
0.081767,0.1399,-0.0750,-0.1543,0.221
0.096696,0.4429,-0.1006,-0.2369,0.512
0.102321,0.5945,-0.0861,-0.2074,0.636
0.115519,0.5787,-0.0442,-0.1085,0.590
0.124518,0.4229,-0.0025,0.0206,0.423
0.128636,0.2372,-0.0019,0.0835,0.252
0.143658,0.0375,0.0395,0.0381,0.066
0.157325,-0.2333,0.0810,-0.0198,0.248
0.168571,-0.3585,0.0407,0.0066,0.361
0.169434,-0.2699,-0.0270,0.1037,0.290
0.181896,0.0327,-0.1354,0.1202,0.184
0.197659,0.2775,-0.1480,0.0551,0.319
0.199005,0.3440,-0.0651,-0.0105,0.350
0.213008,0.2761,0.0450,0.1278,0.308
0.230633,0.2381,-0.0359,-0.0613,0.248
0.231287,0.0665,0.0329,-0.1831,0.198
0.240022,0.0192,-0.1026,-0.1284,0.165
0.249500,-0.0544,-0.0883,0.0212,0.106
0.262330,-0.1394,-0.0060,0.1020,0.173
0.272715,-0.1949,0.0899,0.1004,0.237
0.287194,-0.1966,0.0503,0.0688,0.214
0.297807,-0.1702,-0.0037,-0.0147,0.171
0.309774,-0.1287,-0.0306,-0.0842,0.157
0.318896,-0.1260,-0.0170,-0.1672,0.210
0.328018,-0.1347,0.0099,-0.0456,0.143
0.338440,-0.0868,0.0365,0.1035,0.140
0.348258,-0.1057,0.1855,0.1301,0.250
0.358151,-0.0555,0.2527,0.0749,0.269
0.367527,-0.0182,0.2244,-0.0208,0.226
0.377526,0.1268,0.1143,-0.1023,0.199
0.388221,0.2970,0.1270,-0.1288,0.348
0.397671,0.3702,0.2622,-0.1274,0.471
0.407535,0.4430,0.3292,-0.1661,0.576
0.417724,0.3633,0.2601,-0.2175,0.497
0.427673,0.2379,0.1777,-0.2132,0.366
0.438219,0.4466,-0.1630,-0.0853,0.483
0.448040,0.4311,-0.1217,-0.0113,0.448
