time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001572,-0.4982,-0.0527,-0.0654,0.505
0.006138,-0.3920,-0.0258,-0.0628,0.398
0.015842,-0.1895,0.0288,-0.0351,0.195
0.028007,-0.0815,0.0433,0.0718,0.117
0.037007,-0.0253,0.0580,0.0675,0.093
0.046970,0.0480,0.0046,0.0343,0.059
0.056542,0.0970,-0.0493,0.0006,0.109
0.074602,0.0114,-0.0491,-0.0465,0.069
0.076046,-0.0459,-0.0628,0.0839,0.114
0.086044,0.0736,0.0050,0.0788,0.108
0.096190,0.0417,0.0455,-0.0208,0.065
0.106511,0.1165,-0.0090,-0.0381,0.123
0.116445,0.1488,-0.0091,-0.0137,0.150
0.125734,0.0711,0.0045,0.0115,0.072
0.137418,0.0042,-0.0089,0.0781,0.079
0.147827,-0.0523,-0.0217,0.0769,0.096
0.156637,-0.0834,-0.0206,0.1167,0.145
0.166171,-0.0734,0.0213,0.1428,0.162
0.175853,0.0056,0.0086,0.0463,0.047
0.186051,0.0308,0.0367,-0.0641,0.080
0.196349,0.0831,-0.0306,-0.1335,0.160
0.207992,-0.0140,-0.0300,-0.1889,0.192
0.218168,-0.0836,-0.0704,0.0557,0.123
0.228229,-0.0031,-0.0290,0.1910,0.193
0.237920,0.0102,0.0260,0.1079,0.111
0.248550,0.0514,-0.0688,0.0381,0.094
0.256967,0.0385,-0.0820,-0.0590,0.108
0.268370,0.0118,-0.0816,-0.1696,0.189
0.278177,-0.0969,-0.0403,-0.1165,0.157
0.288193,-0.1238,0.0144,-0.1040,0.162
0.297445,-0.1096,0.0689,-0.0770,0.151
0.315403,-0.0951,0.0821,-0.0626,0.140
0.317556,-0.0801,0.0676,-0.0337,0.110
0.328115,-0.0237,0.0531,-0.0728,0.093
0.346059,0.0072,0.0230,-0.1478,0.150
0.357370,0.0089,0.0071,-0.1690,0.169
0.366858,0.0243,0.0180,-0.0938,0.099
0.376714,0.0398,0.0426,-0.0185,0.061
0.385917,0.0146,-0.0009,0.0017,0.015
0.395802,0.0030,-0.0168,-0.0332,0.037
0.405894,0.4267,-0.4274,-0.1371,0.619
0.417283,1.0529,-0.7554,0.0981,1.300
0.427205,0.9799,0.0751,-0.6745,1.192
0.435913,1.2396,0.5931,-1.7990,2.264
0.445976,1.1622,0.5948,-0.3470,1.351
0.457100,0.9377,0.0940,0.8200,1.249
0.474329,0.3929,-0.4327,1.3190,1.443
0.476169,-0.4903,-0.6052,1.2716,1.491
0.485952,-1.4737,-0.3838,1.0995,1.878
0.499581,-2.2688,-0.0132,0.9509,2.460
0.506493,-2.8015,0.3182,0.8701,2.951
0.516667,-2.9547,0.4043,0.8446,3.100
0.527095,-2.6034,0.3112,0.8102,2.744
0.537592,-1.9870,0.1194,0.7055,2.112
0.546021,-1.2786,-0.0332,0.5021,1.374
0.557125,-0.6129,-0.0913,0.2229,0.658
0.565950,-0.0636,-0.0827,-0.0735,0.128
0.576372,0.2685,-0.0494,-0.2850,0.395
0.587123,0.4596,-0.0044,-0.4089,0.615
0.597020,0.5043,0.0132,-0.4736,0.692
0.606871,0.5221,0.0048,-0.4250,0.673
0.615835,0.5257,0.0787,-0.3683,0.647
0.625999,0.5220,0.0851,-0.2819,0.599
0.635872,0.5474,0.1215,-0.2090,0.598
0.646236,0.5115,0.1744,-0.1685,0.566
0.656508,0.4237,0.1468,-0.1629,0.477
0.665865,0.2279,0.1213,-0.1128,0.282
0.676229,0.0127,0.0833,-0.0619,0.105
0.686098,-0.1726,0.0993,0.0283,0.201
0.696897,-0.2834,0.0463,0.0750,0.297
0.707268,-0.3741,0.0196,0.0509,0.378
0.719819,-0.3783,0.0059,-0.0025,0.378
0.726928,-0.2987,-0.0080,-0.0846,0.311
0.737431,-0.1998,-0.0361,-0.0602,0.212
0.748146,-0.0379,-0.0653,-0.0253,0.080
0.756957,0.0640,-0.0546,0.0199,0.086
0.765992,0.1295,-0.0578,0.0079,0.142
0.777188,0.1688,-0.0335,-0.0329,0.175
0.786744,0.1663,0.0048,-0.0744,0.182
0.796484,0.1480,0.0029,-0.0617,0.160
0.809291,0.1138,0.0288,-0.0490,0.127
0.816686,0.0916,0.0277,-0.0089,0.096
0.827244,0.0955,-0.0139,0.0314,0.102
0.837236,0.0690,-0.0413,0.0447,0.092
0.846323,0.0246,-0.0403,0.0718,0.086
0.857127,-0.0100,-0.0386,0.0448,0.060
0.867592,-0.0457,-0.0638,0.0723,0.107
0.876032,-0.0260,-0.0484,0.0180,0.058
0.886049,-0.0728,-0.0605,0.0045,0.095
0.896003,-0.1318,-0.0049,-0.0093,0.132
0.907742,-0.1897,-0.0448,-0.0232,0.196
0.919059,-0.2330,0.0105,0.0033,0.233
0.927327,-0.2325,-0.0029,-0.0114,0.233
0.937278,-0.2141,-0.0036,-0.0131,0.215
0.949376,-0.1919,-0.0187,-0.0286,0.195
0.957819,-0.2488,0.2379,0.0239,0.345
0.966079,-0.4532,0.7390,-0.1276,0.876
0.976067,-0.4508,0.6128,-0.0333,0.761
0.986017,0.0822,-0.3580,0.3748,0.525
0.997642,0.3946,-0.9330,0.5509,1.153
1.008691,0.2279,-0.6900,-0.0229,0.727
1.017709,-0.1173,0.0028,-0.8279,0.836
1.027731,-0.2863,0.6140,-1.1967,1.375
1.038251,-0.0610,0.7888,-0.8277,1.145
1.047939,0.3948,0.3364,0.1297,0.535
1.057883,0.6847,-0.3743,0.9108,1.199
1.067665,0.5481,-0.7432,0.8602,1.262
1.077076,0.2440,-0.5657,0.3180,0.693
1.088668,0.0451,-0.2100,-0.2932,0.363
1.097404,0.0197,0.1466,-0.3187,0.351
1.108735,0.1826,0.2449,-0.0034,0.306
1.127495,0.4111,0.0737,0.2614,0.493
1.137241,0.5840,-0.2361,0.1829,0.656
1.146905,0.5620,-0.3813,-0.1277,0.691
1.156961,0.4143,-0.3073,-0.4129,0.661
1.166134,0.1574,-0.1101,-0.4549,0.494
1.176320,-0.1102,0.0864,-0.2523,0.289
1.186602,-0.2651,0.1321,0.1143,0.318
1.200727,-0.3630,0.0680,0.4542,0.585
1.210874,-0.3633,-0.0783,0.5624,0.674
1.217961,-0.3601,-0.1570,0.4650,0.609
1.226907,-0.3524,-0.0864,0.2980,0.470
1.236151,-0.2981,-0.0168,0.2525,0.391
1.248275,-0.1704,0.0109,0.2062,0.268
1.256476,-0.0519,-0.0439,0.0775,0.103
1.266353,0.0560,-0.0583,-0.0794,0.113
1.276140,0.1244,-0.0590,-0.2513,0.286
1.285834,0.1922,0.0497,-0.3423,0.396
1.297112,0.2034,0.1724,-0.3242,0.420
1.308150,0.1307,0.1998,-0.2227,0.326
1.319698,0.1109,0.1723,-0.1733,0.268
1.327054,-0.0048,0.1443,-0.1219,0.189
1.337223,-0.0814,0.1028,-0.0420,0.138
1.349310,-0.1333,0.1021,0.0128,0.168
1.356208,-0.1608,0.1145,0.0440,0.202
1.366209,-0.2304,0.0989,0.0929,0.267
1.375848,-0.2587,0.0552,0.1436,0.301
1.385799,-0.2315,-0.0020,0.1392,0.270
1.396713,-0.1766,-0.1134,0.0377,0.213
1.406030,-0.0528,-0.0745,-0.0793,0.121
1.417622,0.0863,-0.0356,-0.1433,0.171
1.427036,0.1727,0.0167,-0.2218,0.282
1.436765,0.2464,0.0281,-0.2598,0.359
1.449320,0.2105,0.0534,-0.2438,0.326
1.457458,0.1594,0.0110,-0.1735,0.236
1.466041,0.0932,0.0100,-0.0899,0.130
1.476179,0.0669,0.0501,-0.0474,0.096
1.485836,0.0400,0.0629,-0.0996,0.124
1.497147,0.0530,0.0346,-0.1908,0.201
1.505994,0.0363,-0.0077,-0.1838,0.188
1.516142,0.0847,-0.0093,-0.1195,0.147
1.528297,0.0765,-0.0244,-0.1220,0.146
1.538001,0.0270,0.0285,-0.1648,0.169
1.546010,0.0192,0.0268,-0.1944,0.197
1.557249,0.0398,0.0794,-0.2381,0.254
1.566052,0.0889,0.0774,-0.2413,0.269
1.576081,0.1523,0.0753,-0.2038,0.265
1.586334,0.1618,0.1410,-0.1388,0.256
1.596951,0.0902,0.1793,-0.0465,0.206
1.608939,0.0737,0.1630,0.0456,0.185
1.618046,0.0575,0.0789,0.0957,0.137
1.627338,-0.0129,0.0223,0.0767,0.081
1.637249,0.0118,-0.0204,0.0841,0.087
1.646707,0.0771,-0.0219,0.0227,0.083
1.657311,0.1009,-0.0638,-0.0125,0.120
