time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002286,-0.2021,-0.0006,0.3815,0.432
0.013817,-0.3476,0.0236,0.6366,0.726
0.024225,-0.4099,0.1301,0.8049,0.913
0.032795,-0.3755,0.1963,0.7376,0.851
0.042288,-0.2720,0.1530,0.3750,0.488
0.051992,-0.2768,0.1234,0.1064,0.321
0.064081,-0.1842,0.1487,0.0668,0.246
0.072049,-0.0471,0.0656,0.0510,0.096
0.081356,0.0804,0.0111,0.0121,0.082
0.094229,0.0627,0.0674,0.0824,0.124
0.101069,0.0472,0.0703,0.2532,0.267
0.111994,0.0184,-0.0217,0.3932,0.394
0.122586,0.1110,-0.1407,0.4754,0.508
0.131382,0.1745,-0.1646,0.4629,0.521
0.141603,0.1415,-0.2163,0.3451,0.431
0.151010,0.1882,-0.2822,0.1906,0.389
0.161397,0.2311,-0.2940,0.0527,0.378
0.173473,0.2279,-0.2383,-0.1104,0.348
0.182253,0.2603,-0.2101,-0.1629,0.372
0.191900,0.2075,-0.1414,-0.0918,0.267
0.201111,0.0993,-0.0183,-0.0878,0.134
0.211274,-0.0078,0.0094,-0.1645,0.165
0.222844,-0.0319,0.0505,-0.2397,0.247
0.231368,-0.0819,0.1459,-0.1899,0.253
0.241075,-0.1033,0.1457,-0.0550,0.187
0.250984,-0.1101,0.1452,0.0017,0.182
0.261228,-0.1162,0.2261,0.0746,0.265
0.272544,-0.1073,0.1981,0.1079,0.250
0.280998,-0.0829,0.1565,0.2088,0.274
0.291620,-0.0972,0.0607,0.1993,0.230
0.302283,0.0673,-0.0485,0.2700,0.282
0.312425,0.1650,-0.1984,0.2308,0.346
0.321151,0.3849,-0.0894,1.1307,1.198
0.331033,-0.0220,-0.2116,0.2013,0.293
0.341029,-0.0750,-0.1562,-0.3378,0.380
0.351090,-0.0465,-0.1006,-0.2534,0.277
0.361544,-0.0455,-0.0993,-0.0746,0.132
0.371850,0.0371,-0.0845,0.0904,0.129
0.382269,0.1194,-0.1241,0.1870,0.254
0.394287,0.0513,-0.0820,0.1204,0.154
0.401532,-0.0311,-0.1082,0.0410,0.120
0.412204,-0.1958,0.0016,-0.1186,0.229
0.422535,-0.2377,0.0432,-0.1271,0.273
0.432176,-0.1835,0.0847,-0.1614,0.259
0.442369,-0.1693,0.1122,-0.1506,0.253
0.452681,0.0494,0.0304,-0.0804,0.099
0.463005,0.2409,-0.0789,0.2225,0.337
0.473477,0.2825,-0.1471,0.3874,0.501
0.495030,0.2556,-0.1470,0.2781,0.405
0.501439,0.1464,-0.2285,0.2075,0.342
0.511935,0.0372,-0.2556,0.0146,0.259
0.521218,-0.0858,-0.2281,-0.1382,0.280
0.531165,-0.0867,-0.2278,-0.1824,0.304
0.540875,0.0338,-0.2140,-0.1857,0.285
0.551964,0.0845,-0.2002,-0.0939,0.237
0.561953,0.1199,-0.1456,0.0379,0.192
0.571588,0.1269,-0.0773,0.1824,0.235
0.581841,0.0796,0.0456,0.5027,0.511
0.595965,-0.0484,0.0322,0.0742,0.094
0.601828,-0.2024,-0.0084,-0.1215,0.236
0.611041,-0.3287,0.1688,-0.1119,0.386
0.622517,-0.3036,0.2235,-0.0876,0.387
0.631653,-0.2617,0.1556,-0.1171,0.326
0.641748,-0.2709,0.1424,-0.1870,0.359
0.651382,-0.2364,0.1156,-0.1470,0.301
0.662041,-0.2132,0.1024,-0.0380,0.240
0.672604,-0.1479,0.0756,-0.0779,0.183
0.681617,0.0538,0.0078,-0.1307,0.142
0.691727,0.0375,0.0353,-0.2366,0.242
0.701453,0.0482,0.0624,-0.1760,0.193
0.711637,0.0989,0.0212,-0.0722,0.124
0.721599,0.1481,0.0344,-0.0492,0.160
0.731739,0.1826,0.0611,-0.0263,0.194
0.741110,0.2158,0.0060,-0.1263,0.250
0.751623,0.3277,-0.0764,-0.1720,0.378
0.761328,0.4071,-0.1045,-0.2043,0.467
0.771461,0.4934,-0.1193,-0.1687,0.535
0.781614,0.4371,-0.0935,-0.0926,0.456
0.791596,0.3491,-0.0950,-0.0986,0.375
0.801349,0.2599,-0.1375,-0.1189,0.317
0.812075,0.0492,-0.1391,-0.0583,0.159
0.822895,-0.0914,-0.1405,0.0560,0.177
0.831618,-0.1071,-0.1689,0.0741,0.213
0.841757,-0.1071,-0.2245,0.0098,0.249
0.850856,-0.1324,-0.2663,-0.0959,0.312
0.862409,-0.1563,-0.2263,-0.0794,0.286
0.873083,-0.2866,-0.1453,-0.0632,0.327
0.882726,-0.3442,-0.0639,0.1024,0.365
0.892090,-0.5310,0.0178,0.2133,0.572
0.901168,-0.5193,-0.0089,0.2014,0.557
0.911386,-0.4603,0.0192,0.1072,0.473
0.921190,-0.3697,0.0475,0.0529,0.376
0.931726,-0.3046,0.0080,-0.1116,0.324
0.941329,-0.2667,0.0093,-0.1405,0.302
0.952157,-0.1618,-0.0167,0.0211,0.164
0.961428,-0.2211,0.0252,-0.0486,0.228
0.974471,-0.1046,-0.0283,-0.1723,0.204
0.983196,0.0647,-0.0684,-0.2137,0.233
0.991152,0.1634,-0.0405,-0.2273,0.283
1.001182,0.2190,-0.0673,-0.2679,0.353
1.012098,0.1775,-0.0126,-0.2254,0.287
1.023945,0.1065,0.0691,-0.1258,0.179
1.032102,0.0182,0.0550,0.0307,0.066
1.041378,0.0073,0.0815,0.0524,0.097
1.051040,0.0331,0.0942,0.0062,0.100
1.064683,0.0827,0.0524,-0.0271,0.102
1.072806,0.1845,0.0378,-0.0470,0.194
1.081671,0.3648,0.0095,-0.1351,0.389
1.092074,0.3924,-0.0053,-0.1690,0.427
1.101899,0.4045,-0.0337,-0.1351,0.428
1.112168,0.4156,-0.0486,-0.1155,0.434
1.121540,0.3990,-0.0089,-0.0692,0.405
1.132777,0.2600,-0.0101,-0.0100,0.260
1.141133,0.1350,0.0977,-0.0329,0.170
1.151397,0.0647,0.0966,-0.0563,0.129
1.161576,0.0219,0.0955,-0.0527,0.111
1.171662,0.0068,0.0945,-0.0358,0.101
1.181439,-0.0348,0.1207,-0.0327,0.130
1.192840,-0.0613,0.0925,0.0113,0.112
1.203217,-0.0315,0.0099,0.0009,0.033
1.213431,0.0951,-0.0863,-0.1048,0.166
1.222659,0.1683,-0.1416,-0.1695,0.278
1.232768,0.1747,-0.1425,-0.2064,0.306
1.242351,0.0741,-0.0752,-0.2423,0.264
1.252421,-0.0105,-0.0488,-0.2768,0.281
1.263323,-0.0931,-0.0497,-0.1740,0.204
1.272469,-0.2012,-0.0097,-0.0710,0.214
1.282834,-0.2533,0.0168,-0.0362,0.256
1.294240,-0.2902,0.0025,-0.0425,0.293
1.313655,-0.2786,0.0016,-0.0015,0.279
1.324464,-0.2982,0.0012,0.0321,0.300
1.331750,-0.3563,0.0010,0.0788,0.365
1.341466,-0.3295,-0.0125,0.0294,0.331
1.351671,-0.2318,-0.0259,-0.0207,0.234
1.360994,-0.1596,-0.0256,-0.0167,0.163
1.371968,-0.1414,-0.0524,-0.0134,0.151
1.381078,-0.0964,-0.0519,0.0431,0.118
1.391243,0.0422,-0.0785,-0.0109,0.090
1.401058,0.0560,-0.0915,-0.0659,0.126
1.412707,0.0406,-0.0501,-0.0396,0.076
1.423795,-0.0305,-0.0495,0.0410,0.071
1.431663,-0.0758,-0.0490,0.0669,0.112
1.442851,-0.0956,-0.0759,0.0519,0.133
1.451326,-0.0088,-0.0755,0.1185,0.141
1.461088,0.0617,-0.0889,0.0217,0.110
1.471954,0.0754,-0.0342,-0.0478,0.096
1.481077,0.0470,-0.0477,0.0053,0.067
1.491501,0.0179,0.0613,0.0177,0.066
1.501221,0.0293,0.0887,0.1389,0.167
1.511975,0.0003,0.1024,0.1101,0.150
1.521369,-0.0551,0.0481,0.0671,0.099
1.530999,-0.0147,-0.0469,0.0234,0.054
1.541465,-0.0558,-0.0874,-0.0070,0.104
1.551172,-0.0150,-0.1551,-0.0101,0.156
1.561140,0.1210,-0.2093,-0.0264,0.243
1.572180,0.2025,-0.2227,-0.1373,0.331
1.581560,0.1613,-0.2362,-0.3154,0.426
1.592636,0.0789,-0.2361,-0.3026,0.392
1.601223,0.0504,-0.2089,-0.2754,0.349
1.612295,-0.0194,-0.1820,-0.2191,0.285
1.621620,-0.0892,-0.0872,-0.2008,0.236
1.631559,-0.1586,-0.0882,-0.1523,0.237
1.641349,-0.1866,-0.0485,-0.1560,0.248
1.651954,-0.2142,0.0182,-0.1584,0.267
1.661208,-0.1871,0.0849,-0.1059,0.231
1.670988,-0.2138,0.1107,-0.0398,0.244
1.683513,-0.1978,0.1503,0.0257,0.250
1.691779,-0.2741,0.1629,0.0627,0.325
1.701553,-0.1837,0.1077,0.0164,0.214
1.711433,0.0036,0.0799,0.0370,0.088
1.722570,0.0551,0.0795,0.0706,0.120
1.730919,0.0651,0.1335,0.1313,0.198
1.741373,0.0603,0.0514,0.1086,0.134
1.750953,0.0814,-0.0440,-0.0253,0.096
1.761010,0.1558,-0.1120,-0.1065,0.219
1.771684,0.1612,-0.0981,-0.1208,0.224
1.781063,0.1102,-0.0570,-0.1081,0.165
1.791100,0.0428,-0.0569,-0.0273,0.076
1.801138,0.0950,-0.0296,0.0536,0.113
1.812489,0.1439,-0.0297,0.1344,0.199
1.824404,0.1357,-0.0025,0.2012,0.243
1.831913,0.0994,0.0111,0.1857,0.211
1.841429,0.0770,0.0656,0.1562,0.186
1.851260,0.1096,0.1474,0.0993,0.209
1.861219,0.1152,0.1066,-0.0257,0.159
