time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001972,-0.8288,-0.6472,1.2435,1.629
0.012239,-1.1523,-0.7546,0.2912,1.408
0.021569,-1.7399,-1.0136,-0.4258,2.058
0.034930,-2.2251,-1.3956,-0.6796,2.713
0.041900,-2.1610,-1.7368,-0.9342,2.926
0.055113,-1.5888,-1.9690,-1.0534,2.741
0.060860,-0.8627,-2.2950,-1.0699,2.675
0.071833,0.2573,-1.3130,-0.8173,1.568
0.081817,1.1012,-0.2225,-0.7008,1.324
0.092687,1.6106,-0.1126,0.1228,1.619
0.102113,1.6854,-0.2068,0.0189,1.698
0.111102,1.9285,-0.7369,0.5701,2.142
0.121018,1.8754,-0.3961,-0.1554,1.923
0.132039,1.7300,0.5007,-0.7058,1.934
0.141768,1.7365,1.1773,-0.7124,2.216
0.151814,1.6321,1.6898,-0.5642,2.416
0.160980,1.1694,1.7927,-0.4955,2.197
0.171894,0.7794,1.5816,-0.1951,1.774
0.182876,0.5076,1.0837,0.1855,1.211
0.191450,0.3749,0.5170,0.4690,0.792
0.202435,0.3590,0.0449,0.7241,0.809
0.213071,0.4490,-0.2220,0.8106,0.953
0.223213,0.6169,-0.2416,0.7265,0.983
0.232406,0.8474,-0.0016,0.4756,0.972
0.242344,1.0301,0.2931,0.1008,1.076
0.252361,1.1234,0.5066,-0.3028,1.269
0.263152,1.0997,0.6387,-0.6122,1.411
0.273323,1.0127,0.6890,-0.7306,1.426
0.283321,0.9019,0.6845,-0.7393,1.352
0.292869,0.8193,0.5977,-0.5969,1.177
0.304002,0.7214,0.4562,-0.4685,0.974
0.313653,0.6601,0.2871,-0.2860,0.775
0.328037,0.4716,0.2264,-0.0903,0.531
0.335264,0.1860,0.3542,0.0830,0.409
0.352344,-0.1972,0.5329,0.1940,0.600
0.362838,-0.5630,0.7228,0.2075,0.939
0.372062,-0.9907,0.8729,0.1378,1.328
0.381367,-1.2639,0.8882,0.0105,1.545
0.391357,-1.3771,0.8520,-0.1449,1.626
0.401009,-1.4846,0.7371,-0.1934,1.669
0.411415,-1.4375,0.6385,-0.1893,1.584
0.421052,-1.3713,0.5150,-0.0779,1.467
0.432778,-1.2890,0.3661,0.0868,1.343
0.441669,-1.2635,0.1909,0.1958,1.293
0.452721,-1.2040,0.0297,0.2351,1.227
0.461302,-1.1545,-0.0498,0.1368,1.164
