time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002369,0.4005,-0.0056,0.4332,0.590
0.015872,0.3181,0.0467,0.0890,0.334
0.022114,0.2086,-0.0230,-0.2438,0.322
0.032477,0.0719,-0.0790,-0.4684,0.480
0.043448,-0.0242,0.0017,-0.4913,0.492
0.053741,-0.0935,0.0284,-0.3391,0.353
0.063562,-0.1634,0.0146,-0.1479,0.221
0.073188,-0.1662,-0.0397,0.0684,0.184
0.082367,-0.1834,-0.0390,0.2409,0.305
0.092337,-0.1466,-0.0244,0.3442,0.375
0.102458,-0.0819,-0.0100,0.3938,0.402
0.111975,-0.0162,-0.0367,0.3360,0.338
0.124235,0.0640,-0.0363,0.2384,0.249
0.132852,0.0899,-0.0360,0.1004,0.139
0.142390,0.1172,-0.0357,-0.0919,0.153
0.152450,0.0511,0.0192,-0.2975,0.303
0.163614,0.0137,-0.0075,-0.4486,0.449
0.173418,-0.0100,-0.0343,-0.4498,0.451
0.183131,0.0062,-0.0339,-0.3554,0.357
0.192625,0.0348,0.0071,-0.1925,0.196
0.203673,0.0624,-0.0065,-0.0153,0.065
0.213185,0.1032,0.0068,0.0813,0.132
0.223743,0.0756,-0.0210,0.1657,0.183
0.238269,0.0604,-0.0220,0.2109,0.221
0.243267,0.0438,-0.0370,0.2301,0.237
0.253079,0.0129,-0.0383,0.2763,0.279
0.264882,0.0232,-0.0802,0.2530,0.266
0.275414,0.0203,-0.0401,0.1602,0.166
0.289056,0.0041,0.0138,0.0397,0.042
0.294042,-0.0254,-0.0001,-0.1233,0.126
0.304392,0.0269,-0.0405,-0.2212,0.227
0.323469,0.1177,-0.0658,-0.2182,0.257
0.333355,0.1970,-0.0379,-0.1541,0.253
0.342548,0.1941,-0.0512,-0.0750,0.214
0.360498,0.1360,-0.0647,-0.0899,0.175
0.362426,0.1180,-0.0513,-0.1179,0.175
0.373832,0.2485,0.0301,0.2224,0.335
0.383519,0.0784,0.0023,0.3050,0.315
0.392459,-0.1188,-0.0258,0.2389,0.268
0.404201,-0.2739,-0.0266,0.0912,0.290
0.413934,-0.4007,0.0136,-0.0297,0.402
0.423404,-0.4726,0.0267,-0.1105,0.486
0.432458,-0.4603,0.0401,-0.2595,0.530
0.447482,-0.3485,0.0129,-0.3267,0.478
0.452739,-0.2042,-0.0277,-0.3934,0.444
0.463105,-0.0557,-0.0273,-0.3641,0.369
0.473849,0.1209,-0.0271,-0.3068,0.331
0.486321,0.2147,-0.0407,-0.2077,0.301
0.492617,0.2936,-0.0821,-0.1202,0.328
0.503467,0.2757,-0.0697,-0.0299,0.286
0.513060,0.2152,-0.0716,0.0628,0.235
0.523798,0.1127,-0.0600,0.1424,0.191
0.533007,0.0359,-0.0347,0.1800,0.187
0.542388,-0.0712,-0.0228,0.1883,0.203
0.554859,-0.1277,-0.0378,0.2079,0.247
0.562436,-0.1732,-0.0118,0.1848,0.254
0.572767,-0.1786,-0.0129,0.1339,0.224
0.583667,-0.1020,-0.0135,0.0533,0.116
0.592638,-0.0380,-0.0130,0.0229,0.046
0.603233,0.0544,-0.0389,-0.0249,0.071
0.612262,0.0932,-0.0645,-0.0743,0.135
0.623620,0.1050,-0.0492,-0.0824,0.142
0.634800,0.1043,-0.0614,-0.0755,0.143
0.643240,0.1050,-0.0330,-0.0400,0.117
0.654565,0.0656,-0.0456,-0.0170,0.082
