time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002486,0.3775,0.2871,-0.3119,0.568
0.009748,0.4372,0.3493,-0.2053,0.596
0.018890,-0.0910,0.3016,-0.1381,0.344
0.029170,-0.4005,0.3094,-0.0592,0.510
0.038586,-0.2997,0.2634,-0.0363,0.401
0.048820,-0.0346,0.1360,-0.0820,0.163
0.059327,0.2299,0.1175,-0.1140,0.282
0.069011,0.3164,0.0717,-0.1734,0.368
0.078523,0.3474,0.1346,-0.2466,0.447
0.088992,0.3644,0.1564,-0.4144,0.574
0.098534,0.2189,0.1505,-0.4312,0.506
0.108736,0.0331,0.1177,-0.4621,0.478
0.118598,-0.1378,0.1255,-0.3831,0.426
0.129131,-0.1706,0.0372,-0.3700,0.409
0.137826,-0.0659,0.0021,-0.4624,0.467
0.149048,0.2301,-0.1167,-0.5232,0.583
0.159454,0.4855,-0.1149,-0.6747,0.839
0.168693,0.8764,-0.0602,-0.7141,1.132
0.179101,1.1550,-0.1698,-0.5351,1.284
0.188040,1.2234,-0.1575,-0.4252,1.305
0.198287,1.2017,-0.0911,-0.3719,1.261
0.209728,1.2381,-0.0934,-0.4303,1.314
0.219294,0.8983,0.0400,-0.4503,1.006
0.229882,0.3372,0.0374,-0.2817,0.441
0.239329,-0.2902,0.0355,-0.1555,0.331
0.249719,-0.9253,-0.0195,-0.0713,0.928
0.260055,-1.2813,0.2676,0.0528,1.310
0.269436,-1.6991,0.0661,0.1888,1.711
0.278974,-1.7604,-0.3245,0.5403,1.870
0.289837,-1.5755,-0.4066,0.7486,1.791
0.300799,-1.3139,-0.1818,0.6236,1.466
0.309795,-1.1466,-0.0487,0.4964,1.250
0.319822,-0.9887,-0.0216,0.4508,1.087
0.331026,-0.8323,0.0493,0.6203,1.039
0.340953,-0.6962,0.1368,0.7163,1.008
0.358460,-0.4239,0.2776,0.7253,0.885
0.368713,-0.2151,0.3290,0.6532,0.762
0.379885,-0.0837,0.1757,0.4825,0.520
0.389085,0.0386,-0.0604,0.4195,0.426
0.400517,0.0867,-0.3120,0.3581,0.483
0.409026,0.0857,-0.4166,0.3136,0.528
0.419082,0.0994,-0.4151,0.3264,0.537
0.427983,0.0589,-0.4431,0.3957,0.597
0.438579,-0.0191,-0.4320,0.3574,0.561
0.448133,-0.1022,-0.3673,0.3604,0.525
0.459358,-0.2138,-0.3163,0.3088,0.491
0.468671,-0.2563,-0.2378,0.2022,0.404
0.478760,-0.2430,-0.2271,0.1222,0.354
0.489043,-0.2688,-0.2571,-0.0262,0.373
0.498797,-0.2663,-0.1919,-0.0785,0.337
0.511461,-0.3180,-0.0598,-0.0739,0.332
0.518338,-0.3815,0.0982,-0.0519,0.397
0.528188,-0.4409,0.1186,-0.0666,0.461
0.539942,-0.3998,0.0971,-0.0094,0.411
0.548092,-0.3130,0.0203,0.0780,0.323
0.559313,-0.1554,-0.0981,-0.0500,0.190
0.568821,-0.0385,-0.2177,-0.1889,0.291
0.579848,0.0357,-0.2298,-0.3108,0.388
0.589038,0.1343,-0.2299,-0.3343,0.427
0.598334,0.2436,-0.2041,-0.3415,0.466
0.609882,0.3641,-0.1929,-0.3875,0.566
0.619662,0.3879,-0.2369,-0.3641,0.582
0.630298,0.4216,-0.2407,-0.3535,0.601
0.638702,0.4894,-0.2725,-0.4512,0.719
