time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003238,0.7833,0.0817,0.1307,0.798
0.013786,3.0664,1.1402,-0.0381,3.272
0.023478,1.6630,0.7253,0.5443,1.894
0.033382,-0.0172,0.1055,0.3909,0.405
0.043234,0.0694,-0.1191,-0.2143,0.255
0.054790,0.3822,-0.3171,-0.4531,0.672
0.073327,0.1369,-0.1973,-0.3465,0.422
0.083609,-0.0921,0.0393,-0.3020,0.318
0.092818,-0.0208,0.1270,-0.1782,0.220
0.102071,0.0909,0.1599,0.0956,0.207
0.112097,0.1496,0.0702,0.1929,0.254
0.122809,-0.0326,-0.0734,0.1948,0.211
0.132946,-0.4504,-0.5553,-0.6754,0.984
0.143242,0.5250,0.4208,-0.0746,0.677
0.151668,0.4967,0.3764,0.3081,0.695
0.162858,0.2960,-0.1578,-0.0166,0.336
0.173652,0.1404,-0.2420,0.0002,0.280
0.182591,0.2863,-0.1762,-0.2276,0.406
0.192089,0.5397,-0.2195,-0.1697,0.607
0.201693,0.6000,-0.2357,-0.0448,0.646
0.212917,0.5099,-0.1699,0.0246,0.538
0.222811,0.4062,-0.0630,-0.0700,0.417
0.233154,0.3402,0.0432,-0.0694,0.350
0.245284,0.2145,0.0122,-0.0146,0.215
0.251660,0.0547,0.0070,-0.0286,0.062
0.261678,-0.0768,0.0022,-0.0155,0.078
0.271351,-0.1902,-0.0153,0.0520,0.198
0.282500,-0.3134,-0.0184,0.0243,0.315
0.291992,-0.3252,0.0199,0.0375,0.328
0.301385,-0.1588,0.0040,0.1459,0.216
0.312187,-0.0984,-0.0654,0.2401,0.268
0.321775,-0.0873,-0.0788,0.2380,0.265
0.333162,0.0116,-0.1041,0.2214,0.245
0.341621,0.1275,-0.1145,0.2583,0.310
0.354344,0.2030,-0.1377,0.3067,0.393
0.362107,0.1688,-0.1601,0.2162,0.318
0.372012,0.2149,-0.2091,0.1507,0.336
0.382045,0.2594,-0.2171,0.1246,0.361
0.392788,0.1940,-0.1843,0.1795,0.322
0.402120,0.1411,-0.1516,0.1524,0.257
0.411538,0.1123,-0.1466,0.1791,0.257
0.421767,0.0391,-0.1561,0.1103,0.195
0.432534,-0.0364,-0.1254,0.0012,0.131
0.442552,0.0096,-0.0137,-0.1069,0.108
0.451460,0.0961,0.0975,-0.1048,0.172
0.466343,0.1825,0.1400,-0.0060,0.230
0.471829,0.2012,0.1002,0.0266,0.226
0.481907,0.1116,0.0733,-0.0067,0.134
0.493029,-0.0040,0.0325,-0.0381,0.050
0.502009,-0.1183,-0.0087,-0.0679,0.137
0.512074,-0.2319,-0.0368,-0.0687,0.245
0.521701,-0.3174,-0.0517,-0.1085,0.339
0.532249,-0.3593,-0.0257,-0.0784,0.369
0.541601,-0.3023,-0.0402,-0.0200,0.306
0.553666,-0.1742,-0.0405,0.0389,0.183
0.562326,-0.1395,-0.0267,0.0295,0.145
0.572022,-0.1712,-0.0123,-0.0212,0.173
0.582275,-0.1735,-0.0109,-0.0858,0.194
0.591512,-0.1332,-0.0772,-0.1369,0.206
0.601672,-0.1055,-0.1025,-0.1881,0.239
0.613041,-0.1184,-0.0731,-0.2529,0.289
0.623260,0.0039,-0.0578,-0.3039,0.309
0.633260,0.1380,-0.0703,-0.2317,0.279
0.641692,0.2562,-0.0156,-0.1585,0.302
0.657113,0.2094,0.0383,-0.1522,0.262
0.661763,0.1886,0.1050,-0.1447,0.260
0.672109,0.1784,0.1161,-0.2039,0.295
0.682963,0.2458,0.0712,-0.2890,0.386
0.691824,0.3224,0.0114,-0.2778,0.426
0.701667,0.3539,-0.0087,-0.2525,0.435
0.713710,0.2465,0.0659,-0.2000,0.324
0.723453,0.2598,0.0721,-0.1342,0.301
0.732399,0.2306,0.0507,-0.1641,0.288
0.742637,0.1464,0.0566,-0.1944,0.250
0.752149,0.1171,0.0762,-0.0752,0.159
0.762696,0.2518,-0.0128,-0.0245,0.253
0.772287,0.2914,-0.0607,-0.0291,0.299
0.782808,0.2632,-0.1218,-0.1027,0.308
0.794507,0.2892,-0.1008,-0.1229,0.330
0.803900,0.3557,-0.0388,-0.1168,0.376
0.812580,0.3266,-0.0174,-0.0434,0.330
0.823275,0.2434,0.0043,-0.0523,0.249
0.832517,0.1743,-0.0282,-0.1027,0.204
0.843467,0.0519,-0.0602,-0.1264,0.149
0.853863,-0.4487,-0.0504,-0.0687,0.457
0.863824,-0.1029,-0.1216,-0.0116,0.160
0.874863,0.0122,0.0395,0.3028,0.306
0.893241,0.0266,-0.0304,0.3126,0.315
0.902200,0.2527,-0.1249,0.3071,0.417
0.913211,0.1524,-0.1368,0.2585,0.330
0.921665,-0.1231,-0.1338,0.2489,0.308
0.931760,-0.2328,-0.1162,0.1430,0.297
0.941893,-0.2309,-0.0842,0.1319,0.279
0.951651,-0.2128,-0.0511,0.2560,0.337
0.961814,-0.1929,0.0783,0.2832,0.351
0.972588,-0.1466,0.0992,0.2135,0.277
0.983027,-0.1281,0.0247,0.0752,0.151
0.992900,-0.0689,-0.0369,-0.0205,0.081
1.002710,-0.0233,-0.0584,-0.0326,0.071
1.011776,0.0222,-0.0124,0.0522,0.058
