time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004020,-0.3578,0.0654,-0.0429,0.366
0.014501,-0.5310,0.1178,0.0378,0.545
0.024224,-0.6040,0.1707,0.1985,0.658
0.035639,-0.5903,0.1552,0.3493,0.703
0.044561,-0.4477,0.0859,0.4162,0.617
0.054732,-0.1626,0.0036,0.2749,0.319
0.065932,0.0306,-0.0647,0.0100,0.072
0.078150,0.0769,-0.0779,-0.0955,0.145
0.084964,-0.1334,0.0052,0.0099,0.134
0.094193,-0.2890,0.0073,0.1642,0.333
0.105047,-0.3497,0.0367,0.1939,0.402
0.115936,-0.1389,-0.0019,0.0598,0.151
0.125849,0.0290,-0.0136,-0.0736,0.080
0.134268,0.0992,-0.0119,-0.1780,0.204
0.146714,0.0997,0.0166,-0.2119,0.235
0.154797,0.1110,-0.0097,-0.2573,0.280
0.166040,0.1183,-0.0227,-0.2608,0.287
0.174821,0.1349,0.0048,-0.2625,0.295
0.189253,0.1617,0.0182,-0.2062,0.263
0.194722,0.1458,0.0446,-0.1594,0.221
0.205128,0.1149,0.0299,-0.0283,0.122
0.216408,0.0418,0.0422,0.1036,0.119
0.226683,-0.0191,0.0408,0.0995,0.109
0.235828,-0.1074,-0.0151,-0.0136,0.109
0.245967,-0.1132,-0.0573,-0.0727,0.146
0.256970,-0.0907,-0.0585,-0.0104,0.108
0.265619,-0.0402,-0.0185,0.0503,0.067
0.277692,0.0652,0.0079,0.0962,0.116
0.285560,0.1575,-0.0064,0.0733,0.174
0.295645,0.1684,-0.0204,-0.0192,0.171
0.306580,0.1253,-0.0206,-0.1274,0.180
0.317487,0.0961,-0.0205,-0.1148,0.151
0.327055,0.0129,0.0340,-0.1023,0.109
0.345051,-0.0029,0.0339,-0.0612,0.070
0.354091,-0.0176,-0.0343,-0.0332,0.051
0.365477,0.0223,-0.0481,-0.0052,0.053
0.375450,0.0347,-0.0891,-0.0860,0.129
0.386395,-0.0215,-0.1030,-0.0434,0.114
0.393986,0.0035,-0.0625,0.0273,0.068
0.405308,0.0691,-0.0495,0.0443,0.096
0.415185,0.0939,-0.0227,0.0338,0.102
0.425312,0.1460,0.0041,0.0906,0.172
0.434467,0.0485,-0.0098,0.0924,0.105
0.444517,-0.0351,-0.0237,-0.0423,0.060
0.454277,-0.1319,-0.0102,-0.0141,0.133
0.466756,-0.1876,-0.0103,-0.0276,0.190
0.474396,-0.2837,0.0851,0.0533,0.301
0.490914,-0.1200,0.0446,0.3094,0.335
0.494422,-0.0232,-0.0092,0.1143,0.117
0.504079,-0.0072,0.0461,0.1629,0.169
0.515016,-0.0315,0.0606,0.0752,0.102
0.524986,-0.0552,-0.0066,0.0693,0.089
0.534428,-0.0644,0.0079,-0.0584,0.087
0.544478,-0.0047,0.0222,0.0053,0.023
0.554331,0.0009,-0.0316,-0.1481,0.151
0.565666,0.0335,-0.0719,-0.0423,0.090
0.574909,-0.0027,-0.0577,0.0366,0.068
0.586213,0.0964,-0.0709,0.0203,0.121
0.594827,0.0723,-0.0568,0.0314,0.097
0.605930,0.1699,-0.0021,0.0023,0.170
0.615765,0.2110,-0.0019,-0.0804,0.226
0.624907,0.1268,-0.0293,-0.0531,0.141
0.634380,0.1085,-0.0023,-0.0386,0.115
0.644128,0.0481,-0.0163,-0.0508,0.072
0.654488,0.0010,0.0106,-0.0220,0.024
0.664911,0.0086,0.0238,0.0207,0.033
0.680671,0.0302,-0.0311,0.1444,0.151
0.684827,0.0249,-0.0586,0.1450,0.158
0.695168,-0.0209,-0.0452,0.1046,0.116
0.704518,0.0156,-0.0453,0.0910,0.103
0.715059,-0.0019,-0.0726,0.0084,0.073
0.724737,-0.0461,-0.0726,-0.0475,0.098
0.734310,-0.0353,-0.0588,-0.0495,0.085
0.744635,0.0038,-0.0450,-0.0380,0.059
0.754303,0.0168,-0.0039,-0.0400,0.044
0.765425,0.0307,-0.0036,-0.0691,0.076
0.775401,-0.0502,-0.0034,-0.0163,0.053
0.788119,-0.0761,-0.0167,0.0093,0.078
0.793823,-0.0877,-0.0301,0.0760,0.120
0.805343,-0.0445,-0.0707,0.1564,0.177
0.815023,-0.0421,-0.1113,0.0599,0.133
0.825266,-0.0125,-0.1111,-0.0364,0.118
0.834316,-0.0373,-0.0701,-0.0099,0.080
0.845278,-0.0486,-0.0563,0.0575,0.094
0.854637,0.0079,-0.0561,0.0704,0.090
0.865407,0.0234,-0.0151,0.0425,0.051
0.875996,0.0659,-0.0013,0.0279,0.072
0.885890,0.0673,-0.0011,0.0535,0.086
0.896011,0.0276,-0.0007,-0.0171,0.032
0.904799,0.1104,-0.0139,-0.0743,0.134
0.915294,0.2468,-0.0273,-0.1579,0.294
0.926018,0.2450,-0.0137,-0.1717,0.300
0.935558,0.1730,-0.0140,-0.1028,0.202
0.944530,0.1535,-0.0007,-0.0336,0.157
0.956356,0.1188,0.0125,-0.0189,0.121
0.965272,0.0695,0.0120,-0.0449,0.084
0.977432,-0.0341,0.0251,-0.0702,0.082
0.984531,-0.0416,-0.0028,0.0958,0.104
0.995602,0.0197,-0.0034,0.0849,0.087
1.005389,0.1221,-0.0312,-0.0212,0.128
1.015613,0.0748,-0.0455,-0.0590,0.106
1.024568,0.0957,-0.0461,-0.0153,0.107
1.034484,0.0628,-0.0194,0.0142,0.067
1.044832,0.0443,-0.0607,0.0023,0.075
1.054707,0.0264,-0.0611,-0.0506,0.084
1.065409,-0.0454,-0.0206,-0.0494,0.070
1.074834,-0.1030,-0.0072,0.0195,0.105
1.085257,-0.1050,-0.0073,0.0061,0.105
1.095059,-0.0241,-0.0073,0.0058,0.026
1.105774,-0.0106,-0.0481,-0.0217,0.054
1.116033,-0.0783,-0.0617,0.0055,0.100
1.126175,-0.0768,-0.0753,0.0192,0.109
1.135937,-0.0473,-0.1024,0.0736,0.135
1.145767,-0.0308,-0.1159,0.0461,0.128
1.155884,-0.0952,-0.0884,0.0049,0.130
1.166044,-0.0772,-0.0473,0.0045,0.091
