time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001628,-0.4107,0.3115,-0.5003,0.718
0.015535,-0.1675,0.0248,-0.2919,0.337
0.021054,-0.1393,-0.1939,0.1888,0.304
0.031409,-0.2182,-0.2089,0.4286,0.524
0.041936,-0.2951,-0.0060,0.2461,0.384
0.053638,-0.2456,0.1835,-0.0331,0.308
0.062067,-0.1523,0.2511,-0.3025,0.422
0.072229,-0.0986,0.1017,-0.2370,0.276
0.082137,0.0667,-0.1962,0.5156,0.556
0.094604,1.1053,-0.9150,2.3216,2.729
0.105834,0.8222,-0.2032,0.9514,1.274
0.112614,-0.1293,0.2493,-0.4846,0.560
0.122179,-0.7268,0.3061,-1.4252,1.629
0.141072,-0.9396,0.4855,-1.3991,1.754
0.151665,-0.8935,0.5405,-0.5308,1.171
0.161200,-0.5725,0.0771,0.3704,0.686
0.171528,-0.2352,-0.3868,0.7983,0.918
0.180994,-0.0045,-0.4010,0.5708,0.698
0.190538,0.1858,-0.2379,-0.1216,0.325
0.201729,0.2531,0.1018,-0.7427,0.791
0.210470,0.3361,0.3985,-0.9963,1.124
0.220570,0.5569,0.4888,-0.8423,1.122
0.231344,0.8433,0.4556,-0.4382,1.054
0.241088,1.0572,0.3821,-0.0378,1.125
0.251193,1.0923,0.3231,0.1928,1.155
0.261286,0.9863,0.3339,0.0598,1.043
0.270770,0.8005,0.3184,-0.2285,0.891
0.280806,0.4938,0.3438,-0.5041,0.785
0.290405,0.2051,0.2872,-0.6426,0.733
0.300776,-0.2217,0.2164,-0.5613,0.641
0.310362,-0.5620,0.1315,-0.3010,0.651
0.321170,-0.7859,0.0733,-0.0245,0.790
0.331177,-0.8805,-0.0395,-0.0061,0.881
0.341470,-0.8207,-0.1113,-0.2066,0.854
0.351723,-0.6063,-0.1285,-0.5436,0.824
0.360926,-0.3259,-0.1188,-0.9456,1.007
0.370325,0.0232,-0.1237,-1.2323,1.239
0.380632,0.2735,-0.1298,-1.3754,1.408
0.390375,0.2834,-0.2055,-1.4435,1.485
0.400589,0.0905,-0.2143,-1.3977,1.417
0.410918,-0.2653,-0.1015,-1.1851,1.219
0.420581,-0.5806,0.0513,-0.8747,1.051
0.431094,-0.9096,0.2306,-0.5081,1.067
0.440580,-1.1705,0.3684,-0.2901,1.261
0.451702,-1.3217,0.4920,-0.2075,1.426
0.472255,-1.2942,0.5882,-0.1531,1.430
0.473469,-1.1685,0.5484,-0.2105,1.308
0.480771,-0.9161,0.5912,-0.0686,1.092
0.490453,-0.6044,0.6759,0.2040,0.929
0.500657,-0.3151,0.5844,0.4036,0.777
0.510813,-0.0901,0.3977,0.4645,0.618
0.520450,0.0952,0.2117,0.3718,0.438
0.531565,0.2513,0.0415,0.2697,0.371
0.541114,0.3351,0.0381,0.2771,0.437
0.552128,0.3861,0.0653,0.4494,0.596
0.562160,0.3778,0.0541,0.5990,0.710
0.571072,0.2970,0.0309,0.6610,0.725
0.580609,0.2075,0.1045,0.7052,0.742
0.591424,0.2276,0.0977,0.6506,0.696
0.601017,0.4374,0.0375,0.4988,0.664
0.611932,0.7564,-0.0903,0.3333,0.831
0.620731,1.0370,-0.2045,0.0467,1.058
0.636972,1.2410,-0.1829,-0.2380,1.277
0.640789,1.2889,-0.0937,-0.4391,1.365
0.650932,1.0748,0.0359,-0.5980,1.231
0.661087,0.7107,0.3004,-0.5628,0.955
0.671062,0.2810,0.5359,-0.3170,0.683
0.681634,-0.1851,0.5922,-0.0497,0.622
0.691522,-0.4824,0.5648,0.0886,0.748
0.700484,-0.6523,0.4542,0.1372,0.807
0.713794,-0.6956,0.4105,-0.0143,0.808
0.724916,-0.6671,0.3384,-0.2839,0.800
0.731401,-0.6457,0.2786,-0.5486,0.892
0.741677,-0.7086,0.1497,-0.7271,1.026
0.751905,-0.7969,-0.0208,-0.8210,1.144
0.760577,-0.9218,-0.2326,-0.8182,1.254
0.771503,-0.9891,-0.4445,-0.7070,1.294
0.781405,-0.9757,-0.5609,-0.5836,1.268
0.790704,-0.8603,-0.5413,-0.4616,1.116
0.800706,-0.6627,-0.4539,-0.3402,0.872
0.810619,-0.4416,-0.3940,-0.3013,0.664
0.820440,-0.2538,-0.3612,-0.2770,0.521
0.830942,-0.1271,-0.3962,-0.1724,0.450
0.841537,-0.0746,-0.5805,-0.0427,0.587
0.853671,-0.0546,-0.8862,0.1917,0.908
0.862518,-0.1342,-1.3671,0.6103,1.503
0.872940,-0.1903,-2.0092,1.1168,2.307
0.881493,-0.1691,-2.4711,1.5174,2.905
0.891653,-0.1129,-2.7083,1.7309,3.216
0.902611,0.0989,-2.7204,1.7962,3.261
0.912071,0.3720,-2.6744,1.7256,3.204
0.922601,0.6940,-2.5998,1.7708,3.221
0.933390,0.9543,-2.4548,1.8189,3.201
0.942657,1.0282,-2.1706,1.8935,3.058
0.953789,1.0140,-1.6263,1.9986,2.769
0.971187,0.8718,-0.8379,1.8360,2.198
0.980762,0.7172,-0.1319,1.7081,1.857
0.990543,0.5602,0.5040,1.4995,1.678
1.000869,0.3027,1.0694,1.2552,1.677
1.010476,0.2011,1.5509,1.1376,1.934
1.021725,0.1124,1.9619,1.1621,2.283
1.030871,0.0140,2.1391,1.2468,2.476
1.041358,-0.1327,2.0692,1.4042,2.504
1.051198,-0.3381,1.8481,1.5896,2.461
1.060858,-0.5857,1.3943,1.7060,2.280
1.070668,-0.8783,0.7894,1.8527,2.197
1.080508,-1.1262,0.1831,1.9907,2.294
1.090448,-1.2943,-0.4378,2.1017,2.507
1.100635,-1.2929,-0.8688,2.0137,2.546
1.110834,-1.1931,-1.2055,1.6056,2.336
1.120310,-0.9628,-1.4075,1.0208,1.988
1.131483,-0.7287,-1.4478,0.4403,1.680
1.140532,-0.4788,-1.4079,-0.2262,1.504
1.151788,-0.2306,-1.2737,-0.8083,1.526
1.161240,-0.0554,-1.0992,-1.2759,1.685
1.170540,0.0320,-0.8976,-1.6298,1.861
1.180499,-0.0368,-0.5594,-1.6924,1.783
1.190509,-0.1793,-0.1664,-1.3984,1.420
1.200568,-0.3809,0.1453,-0.9429,1.027
1.210668,-0.6406,0.4437,-0.5795,0.971
1.221140,-0.8621,0.7152,-0.3620,1.177
1.232794,-1.0573,0.9184,-0.4028,1.457
1.241563,-1.1556,1.0259,-0.5570,1.643
1.252481,-1.1128,1.0643,-0.7734,1.723
1.260890,-0.9550,0.9792,-0.8786,1.626
1.270488,-0.6982,0.9067,-0.9035,1.458
1.280585,-0.4528,0.8062,-0.8095,1.229
1.290862,-0.2195,0.7733,-0.6937,1.062
1.300697,-0.0795,0.7671,-0.6246,0.992
1.312483,-0.0467,0.7877,-0.5337,0.953
1.320860,-0.0406,0.8080,-0.5154,0.959
1.330639,-0.0904,0.7329,-0.4196,0.849
1.341323,-0.0897,0.5355,-0.3410,0.641
1.351094,-0.0541,0.2433,-0.2512,0.354
1.361806,0.0025,-0.0212,-0.2308,0.232
1.370412,0.0267,-0.2170,-0.2930,0.366
1.380405,-0.0068,-0.3581,-0.3968,0.535
1.390303,-0.0870,-0.4713,-0.5563,0.734
1.400499,-0.2688,-0.5429,-0.6763,0.908
1.410373,-0.4140,-0.5458,-0.6754,0.962
1.421061,-0.5204,-0.6301,-0.5405,0.980
1.430602,-0.6002,-0.7277,-0.3806,1.017
1.441444,-0.6266,-0.8795,-0.2506,1.109
1.452366,-0.5859,-1.1128,-0.3407,1.303
1.461802,-0.4479,-1.2372,-0.6364,1.462
1.470504,-0.3333,-1.3351,-1.0810,1.750
1.481359,-0.1739,-1.3657,-1.4126,1.973
1.491436,0.0421,-1.3565,-1.4652,1.997
1.500710,0.2308,-1.2937,-1.1433,1.742
1.514182,0.3766,-1.2993,-0.6674,1.508
1.527923,0.3832,-1.3455,-0.3278,1.437
1.531754,0.3325,-1.4184,-0.3584,1.500
1.541775,0.3210,-1.5184,-0.7853,1.739
1.552097,0.3746,-1.6046,-1.2108,2.045
1.560976,0.5306,-1.4454,-1.2384,1.976
1.570531,0.7995,-1.1627,-0.7060,1.578
1.580941,1.0426,-0.9055,0.1511,1.389
1.590483,1.1921,-0.5102,0.9344,1.598
1.600574,1.3727,-0.0855,1.4641,2.009
1.611943,1.5323,0.4113,1.5749,2.236
1.622797,1.6809,1.0076,1.3901,2.403
1.631055,1.8388,1.5908,0.8461,2.574
1.642309,1.9934,2.0238,0.3575,2.863
1.651994,2.1753,2.3343,0.0478,3.191
1.661408,2.4025,2.5092,-0.0168,3.474
1.671194,2.5315,2.5891,0.1443,3.624
1.681118,2.5106,2.6279,0.4603,3.663
1.691051,2.4105,2.4748,0.6336,3.512
1.705298,2.1974,2.0057,0.4266,3.006
1.719338,1.8880,1.3151,-0.1140,2.304
1.722588,1.5095,0.5665,-0.7563,1.781
1.732938,1.0523,0.0180,-1.3435,1.707
1.742937,0.5071,-0.2911,-1.7060,1.803
1.755622,-0.0638,-0.3999,-1.4991,1.553
1.762653,-0.6562,-0.3735,-0.8519,1.138
1.772112,-1.1734,-0.3059,-0.0144,1.213
1.782086,-1.5140,-0.1663,0.6518,1.657
1.792400,-1.6759,0.0198,0.8821,1.894
1.811446,-1.6686,0.1814,0.5404,1.763
1.820844,-1.4100,0.3326,-0.0955,1.452
1.830117,-0.9576,0.4985,-0.6205,1.245
1.840339,-0.3431,0.7195,-0.8735,1.183
1.851023,0.1264,0.8995,-0.8552,1.248
1.861991,0.3885,1.1063,-0.6341,1.333
1.870863,0.5068,1.2851,-0.4151,1.442
1.880437,0.4384,1.3815,-0.3616,1.494
1.890810,0.3458,1.4226,-0.3483,1.505
1.902451,0.2411,1.4349,-0.3026,1.486
1.911600,0.1513,1.3636,-0.2626,1.397
1.922091,0.0383,1.2228,-0.2440,1.248
1.931004,-0.0006,1.0540,-0.2773,1.090
1.941324,-0.0909,0.8433,-0.4312,0.952
1.952036,-0.1626,0.6997,-0.7042,1.006
1.961841,-0.2649,0.6367,-1.0137,1.226
1.970652,-0.4600,0.5591,-1.2229,1.421
1.980570,-0.5816,0.4530,-1.4126,1.593
1.990606,-0.7386,0.2639,-1.4319,1.633
2.000585,-0.9447,0.0736,-1.3096,1.617
2.011842,-1.1064,-0.0622,-1.1453,1.594
2.021808,-1.2652,-0.1295,-0.9679,1.598
2.031777,-1.3594,-0.1151,-0.7505,1.557
2.041407,-1.3364,-0.1961,-0.6569,1.502
2.050569,-1.3320,-0.4813,-0.6478,1.557
2.062529,-1.3206,-0.8207,-0.6154,1.672
2.072280,-1.2498,-1.1186,-0.4386,1.734
2.081125,-1.1216,-1.2657,-0.1193,1.695
2.090448,-0.8976,-1.2069,0.2182,1.520
2.106733,-0.6347,-0.9967,0.3288,1.227
2.114595,-0.3485,-0.8125,0.2281,0.913
2.121423,-0.1635,-1.0769,-0.0274,1.090
2.131091,-0.0810,-2.1022,-0.0183,2.104
2.141962,-0.0746,-3.3282,0.4535,3.360
2.152187,-0.1203,-4.0156,1.2522,4.208
2.160723,-0.1495,-3.8649,2.0507,4.378
2.170779,-0.2259,-3.2748,2.6156,4.197
2.180996,-0.2111,-2.6425,2.6555,3.752
2.192003,-0.2271,-1.8450,2.2219,2.897
2.201630,-0.1781,-0.9787,1.6449,1.922
2.214756,-0.0626,-0.2627,1.2149,1.245
2.230804,0.0102,0.3433,0.9483,1.009
2.231730,0.0269,0.8528,0.9136,1.250
2.242116,-0.1212,1.1163,1.0003,1.504
2.252779,-0.4314,1.1751,1.3678,1.854
2.261212,-0.8015,1.0162,1.8861,2.287
2.271917,-1.1076,0.6654,2.4800,2.796
