time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004660,0.4784,-0.0173,0.3885,0.617
0.013329,0.4932,-0.0468,-0.1132,0.508
0.024151,0.4106,-0.1569,-0.4140,0.604
0.033897,0.2442,-0.1700,-0.4194,0.514
0.049277,0.0775,-0.0318,-0.1562,0.177
0.053623,-0.0603,-0.0015,0.5817,0.585
0.064976,-0.1541,-0.1590,1.1368,1.158
0.074608,-0.2848,-0.4610,1.3816,1.484
0.084609,-0.7990,-1.1378,5.3975,5.574
0.095117,-1.5975,-0.9962,4.2071,4.609
0.108632,-1.7186,-0.5421,1.6695,2.457
0.115914,-1.5094,-0.2029,-0.7473,1.696
0.126628,-1.1274,-0.1025,-2.2477,2.517
0.134684,-0.5308,-0.1711,-2.5349,2.596
0.149493,0.0043,-0.2023,-1.9008,1.912
0.164202,0.5671,-0.1817,-1.0022,1.166
0.170454,0.9616,-0.1786,-0.2729,1.015
0.175862,1.2534,-0.3290,0.1775,1.308
0.195363,1.4377,-0.5557,0.3028,1.571
0.204384,1.5532,-0.7769,0.3370,1.769
0.215482,1.6232,-0.8893,0.3325,1.880
0.223698,1.5842,-0.8671,0.2191,1.819
0.233652,1.3595,-0.8027,0.0444,1.579
0.249563,0.9471,-0.7772,-0.1530,1.235
0.253348,0.4621,-0.8021,-0.3226,0.980
0.268542,-0.0475,-0.9049,-0.3119,0.958
0.275068,-0.5077,-0.9507,-0.1292,1.086
0.284349,-0.8753,-1.0059,0.0726,1.335
0.293490,-1.1910,-1.0842,0.2123,1.624
0.303428,-1.3295,-1.2139,0.1852,1.810
0.314178,-1.2965,-1.3134,0.0897,1.848
0.323513,-1.0674,-1.3020,-0.0447,1.684
0.333535,-0.8642,-1.2353,-0.1486,1.515
0.344295,-0.6443,-1.1948,-0.1546,1.366
0.353439,-0.4658,-1.0992,-0.1450,1.203
0.363363,-0.2940,-1.0172,-0.1885,1.075
0.373181,-0.2026,-0.9496,-0.2172,0.995
0.383805,-0.1146,-0.8560,-0.2176,0.891
0.394144,-0.0057,-0.7230,-0.2307,0.759
0.403515,0.0279,-0.5642,-0.2427,0.615
0.414626,0.1091,-0.4612,-0.2806,0.551
0.423557,0.1992,-0.4276,-0.2351,0.527
0.433147,0.2963,-0.4904,-0.0930,0.580
0.444687,0.3687,-0.6770,0.0224,0.771
0.453930,0.3872,-0.8920,0.2196,0.997
0.464804,0.3679,-1.0125,0.4168,1.155
0.474157,0.3697,-1.0243,0.5998,1.243
0.484644,0.3145,-1.0083,0.8077,1.330
0.494080,0.2312,-1.0311,1.0096,1.461
0.503260,0.0801,-1.0642,1.2290,1.628
0.514171,-0.0834,-1.0929,1.3951,1.774
0.524056,-0.3541,-1.0626,1.4933,1.867
0.534037,-0.6501,-1.1781,1.4022,1.943
0.545477,-1.1059,-1.6452,1.1118,2.273
0.553979,-1.5224,-2.1512,0.5989,2.703
0.566274,-1.9199,-2.2473,0.1122,2.958
0.576863,-2.2159,-2.0707,-0.2906,3.047
0.583182,-2.2678,-1.8006,-0.4285,2.927
0.594281,-2.0636,-1.5733,-0.3828,2.623
0.604461,-1.7106,-1.3207,-0.1674,2.168
0.613302,-1.3747,-0.9475,0.1351,1.675
0.623375,-1.1818,-0.5356,0.4287,1.367
0.633653,-1.1077,-0.2214,0.6859,1.322
0.645903,-1.1814,-0.0729,1.0427,1.577
0.653332,-1.3089,-0.0628,1.4710,1.970
0.665206,-1.4514,-0.1637,1.8890,2.388
0.673821,-1.5544,-0.3456,1.9719,2.535
0.683317,-1.6316,-0.4575,1.7424,2.430
0.693274,-1.6314,-0.4736,1.1785,2.068
0.703342,-1.5415,-0.4906,0.3822,1.662
0.713805,-1.4701,-0.4538,-0.4014,1.590
0.725122,-1.3615,-0.4187,-1.0728,1.783
0.735160,-1.1871,-0.3862,-1.5315,1.976
0.743399,-0.8915,-0.2884,-1.7350,1.972
0.760111,-0.5296,-0.0431,-1.7258,1.806
0.764285,-0.1304,0.2952,-1.5159,1.550
0.774698,0.2360,0.6148,-1.2664,1.427
0.786212,0.5919,0.8072,-0.9903,1.408
0.793463,0.8662,0.8604,-0.7352,1.425
0.804076,1.0715,0.8568,-0.5183,1.467
0.814121,1.0993,0.7701,-0.4128,1.404
0.825251,1.0748,0.6833,-0.3044,1.310
0.834740,0.8634,0.6658,-0.1992,1.108
0.844309,0.5436,0.6506,-0.1951,0.870
0.854882,0.1307,0.6921,-0.2654,0.753
0.866605,-0.2741,0.8439,-0.4089,0.977
0.874018,-0.5963,0.9959,-0.7190,1.365
0.884734,-0.8037,1.2427,-1.0859,1.836
0.895078,-0.7588,1.5436,-1.2508,2.127
0.905879,-0.5035,1.6942,-1.2129,2.144
0.915289,-0.1223,1.7218,-0.9583,1.974
0.925635,0.1547,1.6131,-0.5424,1.709
0.937018,0.3584,1.4493,-0.1822,1.504
0.945104,0.4356,1.3658,0.1788,1.445
0.963987,0.4454,1.3437,0.4853,1.496
0.973306,0.3020,1.4065,0.5920,1.556
0.984031,0.1425,1.4561,0.3975,1.516
0.995555,-0.0200,1.4656,0.0372,1.466
1.005057,-0.1030,1.4897,-0.3670,1.538
1.014760,-0.1332,1.5150,-0.6112,1.639
1.023492,-0.1000,1.5008,-0.7499,1.681
1.033470,-0.0046,1.4066,-0.7420,1.590
1.043797,0.1415,1.2046,-0.6413,1.372
1.053225,0.3544,0.8531,-0.5280,1.064
1.064677,0.4446,0.5553,-0.3720,0.803
1.078153,0.5619,0.3372,-0.2244,0.693
1.083338,0.6238,0.1986,-0.1393,0.669
1.094514,0.6567,0.1807,-0.1314,0.694
1.104188,0.5922,0.1621,-0.1898,0.643
1.113488,0.4304,-0.0465,-0.2776,0.514
1.124414,0.2798,-0.7019,-0.3587,0.836
1.133682,0.2593,-1.8424,-0.1927,1.870
1.146894,0.3369,-2.9876,0.2399,3.016
1.160302,0.4350,-3.4406,0.7690,3.552
1.165348,0.5446,-3.1643,1.1160,3.399
1.174435,0.7097,-2.5316,0.9525,2.796
1.184459,0.9718,-2.0073,0.2549,2.245
1.194414,1.1527,-1.5922,-0.5659,2.045
1.205568,1.3459,-1.2324,-1.1538,2.159
1.213934,1.4818,-0.8737,-1.3168,2.166
1.223335,1.6806,-0.5846,-1.0950,2.089
1.233447,1.8575,-0.4061,-0.6367,2.005
1.244582,2.0231,-0.3110,-0.1603,2.053
1.253247,2.1481,-0.3397,0.2379,2.188
1.264343,2.2871,-0.5742,0.5168,2.414
1.276752,2.4000,-0.9880,0.6908,2.686
1.284526,2.4339,-1.3091,0.7328,2.859
1.293922,2.2963,-1.2240,0.5320,2.656
1.304032,1.9097,-0.8007,0.2374,2.084
1.313956,1.3606,-0.4072,-0.2590,1.444
1.323862,0.7760,-0.1114,-0.7393,1.078
1.333494,0.2411,0.2101,-1.0140,1.063
1.347629,-0.1468,0.7078,-0.9609,1.202
1.361781,-0.3737,1.1776,-0.6614,1.401
1.364053,-0.4004,1.5512,-0.2508,1.622
1.374497,-0.3100,1.7603,0.0680,1.789
1.383815,-0.1924,1.8867,0.3647,1.931
1.394644,-0.0956,1.8490,0.5319,1.926
1.404582,-0.0346,1.7150,0.7345,1.866
1.413837,0.0110,1.4309,1.0094,1.751
1.423154,0.0357,1.0923,1.2859,1.688
1.433302,-0.0697,0.7409,1.5072,1.681
1.445213,-0.2659,0.4877,1.5313,1.629
1.453163,-0.4461,0.3091,1.3206,1.428
1.465030,-0.5980,0.0416,0.8478,1.038
1.482048,-0.6133,-0.2877,0.4670,0.823
1.487535,-0.3839,-0.5040,0.4152,0.758
1.493390,-0.0191,-0.6089,0.5467,0.819
1.503938,0.4388,-0.5887,0.6559,0.985
1.515334,0.8372,-0.5674,0.6501,1.202
1.524051,1.1622,-0.5880,0.4132,1.366
1.534285,1.3476,-0.6100,-0.0125,1.479
1.544899,1.3375,-0.4440,-0.4328,1.474
1.553247,1.0781,-0.1589,-0.7357,1.315
1.564216,0.6640,0.1627,-0.8503,1.091
1.581484,0.2310,0.3704,-0.8423,0.949
1.584315,-0.1657,0.4918,-0.6992,0.871
1.594838,-0.5241,0.5138,-0.5716,0.930
1.603650,-0.7728,0.4921,-0.5168,1.052
